"race","classtype","yearssmall","hsgrad","g4math","g4reading"
1,3,0,1,719,836
1,3,0,1,NA,NA
1,1,1,1,NA,NA
2,1,1,NA,NA,NA
1,2,0,NA,NA,NA
1,1,4,0,771,688
1,1,1,1,NA,NA
1,1,4,0,664,742
1,3,0,1,698,713
1,3,0,1,679,836
1,2,0,NA,NA,NA
1,2,0,NA,NA,NA
1,1,1,0,NA,NA
1,2,0,1,694,763
1,3,0,1,NA,NA
1,1,4,1,681,704
1,3,0,NA,NA,NA
1,3,0,1,758,741
2,3,0,NA,625,672
2,1,4,NA,659,621
1,1,4,1,744,794
2,3,0,1,726,727
1,2,0,NA,821,763
1,3,0,1,745,700
1,2,0,1,NA,NA
1,2,0,NA,NA,NA
2,2,0,1,730,736
1,3,0,1,705,659
1,3,1,1,NA,NA
1,2,0,1,NA,NA
1,2,0,NA,NA,NA
2,2,0,NA,741,647
1,3,0,1,NA,NA
1,1,4,NA,758,742
1,1,4,NA,692,759
1,1,4,1,655,709
1,2,0,1,767,760
1,1,4,1,741,735
1,1,4,1,701,740
1,1,4,1,740,741
1,1,4,1,735,761
2,2,0,1,678,681
1,1,2,NA,NA,NA
1,2,0,1,758,760
1,3,0,1,724,721
1,2,0,1,684,622
1,2,0,1,767,765
1,3,0,0,598,736
1,2,0,NA,704,692
1,2,1,1,722,756
1,3,0,1,697,735
1,1,1,NA,NA,NA
1,1,1,NA,NA,NA
1,1,4,NA,541,743
1,2,0,1,743,836
1,2,1,1,758,778
1,2,0,1,603,689
1,2,0,NA,709,720
1,3,0,1,744,756
1,2,3,1,749,680
1,2,0,NA,NA,NA
2,2,0,1,NA,NA
1,3,0,1,739,763
1,1,4,1,758,836
1,2,0,1,715,676
1,3,0,1,729,761
2,2,0,NA,NA,NA
1,3,0,1,726,724
1,3,0,NA,NA,NA
1,1,4,NA,666,692
1,3,0,1,717,717
2,1,2,1,NA,NA
1,1,3,1,699,719
1,2,0,1,711,695
1,3,0,1,708,836
1,2,0,0,702,715
1,2,3,1,821,765
1,2,0,1,710,728
1,3,2,1,657,702
1,3,0,1,726,718
1,1,4,1,728,836
2,1,1,0,NA,NA
2,3,0,NA,726,767
2,3,0,1,NA,NA
2,2,0,NA,NA,NA
2,2,0,0,NA,NA
2,2,0,NA,NA,NA
2,3,0,NA,NA,NA
2,2,0,NA,NA,NA
2,3,0,0,647,689
2,1,3,NA,NA,NA
2,2,0,NA,NA,NA
2,2,0,NA,NA,NA
2,3,0,1,NA,NA
2,3,0,1,NA,NA
2,2,0,0,NA,NA
2,3,0,0,NA,NA
2,2,1,0,NA,NA
2,3,1,NA,NA,NA
2,3,0,1,NA,NA
2,3,0,1,NA,NA
2,3,0,NA,NA,NA
1,3,0,1,NA,NA
1,2,0,NA,712,771
1,1,4,1,706,710
1,3,0,1,758,836
1,1,1,NA,NA,NA
1,2,0,1,741,784
1,2,0,NA,743,748
1,2,0,1,662,714
1,2,0,1,715,765
1,2,0,NA,NA,NA
1,1,4,NA,704,724
1,1,2,0,NA,NA
1,3,0,1,NA,NA
1,3,0,1,717,682
1,1,1,1,NA,NA
1,2,0,1,697,604
1,1,3,0,NA,NA
1,2,0,1,658,688
1,2,0,NA,NA,NA
1,1,1,NA,NA,NA
1,2,0,1,NA,NA
1,3,0,1,NA,NA
1,1,4,NA,723,732
1,1,3,1,NA,NA
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,2,0,1,NA,NA
1,2,0,NA,724,734
1,1,1,NA,NA,NA
1,2,0,NA,705,717
1,1,4,1,690,730
1,3,3,1,707,721
1,2,0,NA,732,750
1,3,0,1,709,642
2,3,0,NA,NA,NA
1,1,4,1,698,782
1,2,0,NA,NA,NA
1,3,0,0,719,694
1,1,4,NA,711,751
1,3,0,1,NA,NA
1,1,3,1,NA,NA
1,2,0,1,NA,NA
1,1,2,1,NA,NA
1,3,0,NA,692,738
1,1,4,NA,716,722
1,2,0,1,NA,NA
1,2,0,NA,661,629
1,3,0,0,754,763
1,1,1,NA,NA,NA
1,2,3,1,726,757
1,3,0,1,NA,NA
1,1,4,0,684,731
1,1,4,1,662,632
1,3,0,1,NA,NA
1,1,4,NA,677,723
1,2,0,1,NA,NA
1,2,2,1,771,739
1,2,0,1,664,700
1,2,0,NA,NA,NA
1,3,0,NA,NA,NA
2,2,0,0,NA,NA
1,2,0,1,821,705
1,1,1,0,NA,NA
2,1,1,NA,NA,NA
2,2,0,NA,NA,NA
1,3,0,1,718,711
1,3,2,1,691,721
1,3,0,NA,758,750
1,2,0,1,NA,NA
1,3,0,1,NA,NA
1,1,3,NA,652,626
1,1,4,1,747,736
1,3,0,0,683,NA
1,3,3,NA,729,NA
1,2,0,0,700,NA
1,2,3,1,726,NA
1,1,4,1,741,NA
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,2,0,NA,670,712
1,3,0,NA,NA,NA
1,2,0,1,NA,NA
1,1,4,1,690,711
1,2,3,NA,729,760
1,3,0,1,729,725
1,1,4,NA,719,750
1,1,4,1,703,701
1,1,4,0,699,697
1,2,0,1,648,677
1,2,0,1,717,836
1,1,3,NA,NA,NA
1,2,3,NA,NA,NA
1,3,0,1,744,770
1,2,0,NA,643,646
1,3,3,NA,667,782
1,3,0,1,679,695
1,1,1,NA,NA,NA
1,2,0,NA,NA,NA
1,2,0,1,NA,NA
1,2,0,1,NA,NA
1,2,0,1,728,760
1,3,0,1,765,745
1,3,0,NA,NA,NA
1,2,0,1,690,695
1,1,4,1,724,737
1,2,1,0,NA,NA
1,1,4,1,758,714
1,3,0,1,769,784
1,3,0,1,NA,NA
1,3,0,NA,767,771
1,1,4,1,686,745
1,2,0,1,716,763
1,2,0,1,NA,NA
2,3,0,NA,NA,NA
1,2,0,NA,NA,NA
1,2,0,0,681,728
1,1,2,1,NA,NA
1,2,0,1,704,668
1,1,4,1,783,836
1,3,0,NA,714,717
1,2,0,NA,NA,NA
1,3,0,NA,NA,NA
1,1,4,1,699,724
1,3,3,NA,739,756
1,1,4,1,636,697
1,1,4,NA,696,794
1,1,1,NA,NA,NA
1,2,0,0,531,641
1,3,0,1,758,760
1,3,0,NA,NA,NA
1,2,0,1,696,688
1,1,4,1,738,685
1,3,0,NA,698,785
1,3,2,NA,NA,NA
1,3,1,1,689,662
1,1,1,NA,NA,NA
1,1,4,NA,704,763
1,2,0,1,696,734
1,2,0,NA,NA,NA
2,3,0,1,NA,NA
1,1,1,NA,NA,NA
1,1,4,1,789,750
1,3,0,0,NA,NA
1,1,4,NA,704,725
1,2,0,NA,NA,NA
6,3,0,1,741,778
1,1,4,1,779,782
1,2,0,1,637,691
1,2,0,1,739,771
1,1,4,NA,648,528
1,2,0,0,NA,NA
1,1,4,1,689,705
1,3,0,1,657,705
1,2,0,1,701,652
1,3,0,NA,676,749
1,3,3,1,723,741
2,1,1,NA,NA,NA
1,1,1,NA,NA,NA
1,2,3,1,691,763
1,2,0,0,NA,NA
1,1,1,NA,NA,NA
1,3,0,1,715,755
2,2,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,NA,676,652
2,3,0,NA,NA,NA
1,3,1,NA,NA,NA
1,1,4,1,679,660
1,3,0,0,NA,NA
1,2,0,NA,736,691
1,2,0,1,NA,NA
1,2,0,1,695,738
1,2,3,0,707,760
1,3,0,0,NA,NA
1,3,0,0,726,692
1,3,0,1,733,703
2,2,0,NA,NA,NA
1,1,2,1,NA,NA
2,2,0,1,707,721
1,1,4,NA,715,715
1,3,0,NA,730,836
1,3,2,NA,695,679
1,3,0,NA,727,689
1,2,0,1,NA,NA
1,2,0,1,NA,NA
1,2,0,1,727,689
1,2,0,NA,767,750
1,3,0,1,645,683
1,3,0,1,711,753
1,3,0,1,741,686
1,2,0,1,711,751
1,2,0,1,741,724
2,3,0,1,NA,NA
1,1,4,NA,NA,NA
1,1,4,1,741,836
1,2,0,NA,NA,NA
1,1,4,0,672,690
1,2,0,NA,758,741
1,1,4,NA,NA,NA
1,1,2,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,1,728,794
1,1,4,1,708,730
1,3,0,NA,NA,NA
1,3,0,NA,696,699
1,2,0,NA,704,735
1,2,0,1,721,743
1,3,3,NA,716,836
1,1,4,1,744,709
1,3,3,NA,696,707
1,3,0,NA,NA,NA
1,2,0,NA,NA,NA
1,3,0,1,NA,NA
1,2,0,1,709,699
1,2,0,1,NA,NA
1,2,0,1,702,722
1,1,4,1,758,750
1,2,0,NA,758,676
2,2,0,1,692,740
2,1,2,NA,NA,NA
1,3,0,NA,NA,NA
