"following","followed"
"SenJohnBarrasso","SenPatRoberts"
"SenJohnBarrasso","SenatorRisch"
"SenJohnBarrasso","SenRubioPress"
"SenJohnBarrasso","SenatorRounds"
"SenJohnBarrasso","SenatorSessions"
"SenJohnBarrasso","SenatorShaheen"
"SenJohnBarrasso","SenatorTimScott"
"SenJohnBarrasso","SenBrianSchatz"
"SenJohnBarrasso","SenJohnThune"
"SenJohnBarrasso","SenToomey"
"SenJohnBarrasso","SenatorTester"
"SenJohnBarrasso","SenThomTillis"
"SenJohnBarrasso","SenatorTomUdall"
"SenJohnBarrasso","SenatorWicker"
"SenBennetCO","RoyBlunt"
"SenBennetCO","SenatorBurr"
"SenBennetCO","MikeCrapo"
"SenBennetCO","SenTedCruz"
"SenBennetCO","SenatorDurbin"
"SenBennetCO","JeffFlake"
"SenBennetCO","SenCoryGardner"
"SenBennetCO","SenOrrinHatch"
"SenBennetCO","SenDeanHeller"
"SenBennetCO","SenJohnHoeven"
"SenBennetCO","SenJohnMcCain"
"SenBennetCO","SenatorMenendez"
"SenBennetCO","JerryMoran"
"SenBennetCO","SenPatRoberts"
"SenBennetCO","SenatorRisch"
"SenBennetCO","SenSchumer"
"SenBennetCO","SenJohnThune"
"SenBennetCO","SenToomey"
"SenBennetCO","MarkWarner"
"SenBennetCO","SenWarren"
"SenBlumenthal","SenatorBoxer"
"SenBlumenthal","SenSherrodBrown"
"SenBlumenthal","SenatorBaldwin"
"SenBlumenthal","SenatorCardin"
"SenBlumenthal","SenatorCarper"
"SenBlumenthal","MikeCrapo"
"SenBlumenthal","JohnCornyn"
"SenBlumenthal","SenBobCasey"
"SenBlumenthal","SenatorDurbin"
"SenBlumenthal","SenFeinstein"
"SenBlumenthal","SenDeanHeller"
"SenBlumenthal","maziehirono"
"SenBlumenthal","SenJohnHoeven"
"SenBlumenthal","SenatorHeitkamp"
"SenBlumenthal","SenatorKirk"
"SenBlumenthal","SenatorLeahy"
"SenBlumenthal","SenJohnMcCain"
"SenBlumenthal","SenatorMenendez"
"SenBlumenthal","SenatorBarb"
"SenBlumenthal","JerryMoran"
"SenBlumenthal","PattyMurray"
"SenBlumenthal","lisamurkowski"
"SenBlumenthal","ChrisMurphyCT"
"SenBlumenthal","McCaskillOffice"
"SenBlumenthal","SenJeffMerkley"
"SenBlumenthal","Sen_JoeManchin"
"SenBlumenthal","SenBillNelson"
"SenBlumenthal","senrobportman"
"SenBlumenthal","SenGaryPeters"
"SenBlumenthal","SenJackReed"
"SenBlumenthal","SenatorReid"
"SenBlumenthal","SenatorRounds"
"SenBlumenthal","SenSanders"
"SenBlumenthal","SenSchumer"
"SenBlumenthal","SenShelby"
"SenBlumenthal","SenStabenow"
"SenBlumenthal","SenatorShaheen"
"SenBlumenthal","SenatorTimScott"
"SenBlumenthal","SenatorTomUdall"
"SenBlumenthal","RonWyden"
"SenBlumenthal","SenWhitehouse"
"SenBlumenthal","MarkWarner"
"SenBlumenthal","SenWarren"
"SenatorCantwell","SenatorBoxer"
"SenatorCantwell","SenSherrodBrown"
"SenatorCantwell","SenatorBaldwin"
"SenatorCantwell","SenBennetCO"
"SenatorCantwell","SenBlumenthal"
"SenatorCantwell","SenatorCardin"
"SenatorCantwell","SenatorCarper"
"SenatorCantwell","SenBobCasey"
"SenatorCantwell","SenCoonsOffice"
"SenatorCantwell","SenatorDurbin"
"SenatorCantwell","SenDonnelly"
"SenatorCantwell","SenFeinstein"
"SenatorCantwell","maziehirono"
"SenatorCantwell","MartinHeinrich"
"SenatorCantwell","SenatorHeitkamp"
"SenatorCantwell","SenAngusKing"
"SenatorCantwell","SenatorLeahy"
"SenatorCantwell","SenatorMenendez"
"SenatorCantwell","SenatorBarb"
"SenatorCantwell","PattyMurray"
"SenatorCantwell","ChrisMurphyCT"
"SenatorCantwell","McCaskillOffice"
"SenatorCantwell","SenJeffMerkley"
"SenatorCantwell","Sen_JoeManchin"
"SenatorCantwell","SenBillNelson"
"SenatorCantwell","SenGaryPeters"
"SenatorCantwell","SenJackReed"
"SenatorCantwell","SenatorReid"
"SenatorCantwell","SenSanders"
"SenatorCantwell","SenSchumer"
"SenatorCantwell","SenStabenow"
"SenatorCantwell","SenatorShaheen"
"SenatorCantwell","SenBrianSchatz"
"SenatorCantwell","SenatorTester"
"SenatorCantwell","SenatorTomUdall"
"SenatorCantwell","RonWyden"
"SenatorCantwell","SenWhitehouse"
"SenatorCantwell","MarkWarner"
"SenatorCantwell","SenWarren"
"SenatorCardin","SenatorBoxer"
"SenatorCardin","SenSherrodBrown"
"SenatorCardin","SenBlumenthal"
"SenatorCardin","SenatorCantwell"
"SenatorCardin","SenatorCarper"
"SenatorCardin","SenBobCorker"
"SenatorCardin","SenatorDurbin"
"SenatorCardin","SenAngusKing"
"SenatorCardin","SenatorLeahy"
"SenatorCardin","SenJohnMcCain"
"SenatorCardin","SenatorMenendez"
"SenatorCardin","SenatorBarb"
"SenatorCardin","PattyMurray"
"SenatorCardin","ChrisMurphyCT"
"SenatorCardin","SenGaryPeters"
"SenatorCardin","SenatorReid"
"SenatorCardin","SenSanders"
"SenatorCardin","SenSchumer"
"SenatorCardin","SenStabenow"
"SenatorCardin","RonWyden"
"SenatorCardin","SenWhitehouse"
"SenatorCardin","MarkWarner"
"SenatorCarper","SenatorBoxer"
"SenatorCarper","SenSherrodBrown"
"SenatorCarper","SenBennetCO"
"SenatorCarper","SenBlumenthal"
"SenatorCarper","SenatorCantwell"
"SenatorCarper","SenatorCardin"
"SenatorCarper","SenThadCochran"
"SenatorCarper","SenatorCollins"
"SenatorCarper","SenBobCasey"
"SenatorCarper","SenCoonsOffice"
"SenatorCarper","SenatorDurbin"
"SenatorCarper","SenFeinstein"
"SenatorCarper","SenRonJohnson"
"SenatorCarper","SenatorLeahy"
"SenatorCarper","SenatorLankford"
"SenatorCarper","SenatorMenendez"
"SenatorCarper","SenatorBarb"
"SenatorCarper","PattyMurray"
"SenatorCarper","McCaskillOffice"
"SenatorCarper","SenJeffMerkley"
"SenatorCarper","Sen_JoeManchin"
"SenatorCarper","SenBillNelson"
"SenatorCarper","SenGaryPeters"
"SenatorCarper","SenJackReed"
"SenatorCarper","SenatorReid"
"SenatorCarper","SenPatRoberts"
"SenatorCarper","SenSanders"
"SenatorCarper","SenSchumer"
"SenatorCarper","SenStabenow"
"SenatorCarper","SenatorShaheen"
"SenatorCarper","SenToomey"
"SenatorCarper","SenatorTomUdall"
"SenatorCarper","RonWyden"
"SenatorCarper","SenWhitehouse"
"SenatorCarper","MarkWarner"
"SenatorCarper","SenWarren"
"SenDanCoats","SenAlexander"
"SenDanCoats","RoyBlunt"
"SenDanCoats","SenatorBurr"
"SenDanCoats","JohnBoozman"
"SenDanCoats","SenJohnBarrasso"
"SenDanCoats","SenatorCarper"
"SenDanCoats","SenThadCochran"
"SenDanCoats","MikeCrapo"
"SenDanCoats","SenatorCollins"
"SenDanCoats","SenCapito"
"SenDanCoats","JohnCornyn"
"SenDanCoats","SenBobCorker"
"SenDanCoats","SenTomCotton"
"SenDanCoats","SenTedCruz"
"SenDanCoats","SenDonnelly"
"SenDanCoats","SenatorEnzi"
"SenDanCoats","SenJoniErnst"
"SenDanCoats","SenFeinstein"
"SenDanCoats","JeffFlake"
"SenDanCoats","SenatorFischer"
"SenDanCoats","ChuckGrassley"
"SenDanCoats","SenCoryGardner"
"SenDanCoats","SenOrrinHatch"
"SenDanCoats","SenDeanHeller"
"SenDanCoats","SenJohnHoeven"
"SenDanCoats","InhofePress"
"SenDanCoats","SenatorIsakson"
"SenDanCoats","SenRonJohnson"
"SenDanCoats","SenatorKirk"
"SenDanCoats","SenatorLankford"
"SenDanCoats","SenMikeLee"
"SenDanCoats","SenJohnMcCain"
"SenDanCoats","McConnellPress"
"SenDanCoats","JerryMoran"
"SenDanCoats","lisamurkowski"
"SenDanCoats","ChrisMurphyCT"
"SenDanCoats","Sen_JoeManchin"
"SenDanCoats","senrobportman"
"SenDanCoats","SenPatRoberts"
"SenDanCoats","SenatorRisch"
"SenDanCoats","SenRubioPress"
"SenDanCoats","SenatorSessions"
"SenDanCoats","SenatorTimScott"
"SenDanCoats","SenSasse"
"SenDanCoats","SenJohnThune"
"SenDanCoats","SenToomey"
"SenDanCoats","SenatorWicker"
"SenDanCoats","RonWyden"
"SenThadCochran","SenAlexander"
"SenThadCochran","RoyBlunt"
"SenThadCochran","SenatorBurr"
"SenThadCochran","JohnBoozman"
"SenThadCochran","SenJohnBarrasso"
"SenThadCochran","SenDanCoats"
"SenThadCochran","MikeCrapo"
"SenThadCochran","SenatorCollins"
"SenThadCochran","SenCapito"
"SenThadCochran","JohnCornyn"
"SenThadCochran","SenBobCorker"
"SenThadCochran","SenTedCruz"
"SenThadCochran","SteveDaines"
"SenThadCochran","SenatorEnzi"
"SenThadCochran","SenJoniErnst"
"SenThadCochran","JeffFlake"
"SenThadCochran","SenatorFischer"
"SenThadCochran","ChuckGrassley"
"SenThadCochran","SenCoryGardner"
"SenThadCochran","SenOrrinHatch"
"SenThadCochran","SenDeanHeller"
"SenThadCochran","SenJohnHoeven"
"SenThadCochran","InhofePress"
"SenThadCochran","SenatorIsakson"
"SenThadCochran","SenRonJohnson"
"SenThadCochran","SenatorKirk"
"SenThadCochran","SenatorLankford"
"SenThadCochran","SenMikeLee"
"SenThadCochran","SenJohnMcCain"
"SenThadCochran","McConnellPress"
"SenThadCochran","JerryMoran"
"SenThadCochran","lisamurkowski"
"SenThadCochran","senrobportman"
"SenThadCochran","sendavidperdue"
"SenThadCochran","SenPatRoberts"
"SenThadCochran","SenatorRisch"
"SenThadCochran","SenRubioPress"
"SenThadCochran","SenatorRounds"
"SenThadCochran","SenShelby"
"SenThadCochran","SenatorSessions"
"SenThadCochran","SenatorTimScott"
"SenThadCochran","SenSasse"
"SenThadCochran","SenDanSullivan"
"SenThadCochran","SenJohnThune"
"SenThadCochran","SenToomey"
"SenThadCochran","SenThomTillis"
"SenThadCochran","SenatorWicker"
"MikeCrapo","SenAlexander"
"MikeCrapo","RoyBlunt"
"MikeCrapo","SenatorBoxer"
"MikeCrapo","SenSherrodBrown"
"MikeCrapo","SenatorBurr"
"MikeCrapo","SenatorBaldwin"
"MikeCrapo","JohnBoozman"
"MikeCrapo","SenJohnBarrasso"
"MikeCrapo","SenBennetCO"
"MikeCrapo","SenBlumenthal"
"MikeCrapo","SenatorCantwell"
"MikeCrapo","SenatorCardin"
"MikeCrapo","SenatorCarper"
"MikeCrapo","SenDanCoats"
"MikeCrapo","SenThadCochran"
"MikeCrapo","SenatorCollins"
"MikeCrapo","SenCapito"
"MikeCrapo","JohnCornyn"
"MikeCrapo","SenBobCasey"
"MikeCrapo","SenBobCorker"
"MikeCrapo","SenTomCotton"
"MikeCrapo","SenTedCruz"
"MikeCrapo","SenatorDurbin"
"MikeCrapo","SenDonnelly"
"MikeCrapo","SteveDaines"
"MikeCrapo","SenatorEnzi"
"MikeCrapo","SenJoniErnst"
"MikeCrapo","SenFeinstein"
"MikeCrapo","JeffFlake"
"MikeCrapo","SenatorFischer"
"MikeCrapo","ChuckGrassley"
"MikeCrapo","SenCoryGardner"
"MikeCrapo","SenOrrinHatch"
"MikeCrapo","SenDeanHeller"
"MikeCrapo","maziehirono"
"MikeCrapo","MartinHeinrich"
"MikeCrapo","SenJohnHoeven"
"MikeCrapo","SenatorHeitkamp"
"MikeCrapo","InhofePress"
"MikeCrapo","SenatorIsakson"
"MikeCrapo","SenRonJohnson"
"MikeCrapo","SenatorKirk"
"MikeCrapo","SenAngusKing"
"MikeCrapo","SenKaineOffice"
"MikeCrapo","SenatorLeahy"
"MikeCrapo","SenatorLankford"
"MikeCrapo","SenMikeLee"
"MikeCrapo","SenJohnMcCain"
"MikeCrapo","McConnellPress"
"MikeCrapo","SenatorMenendez"
"MikeCrapo","SenatorBarb"
"MikeCrapo","JerryMoran"
"MikeCrapo","PattyMurray"
"MikeCrapo","lisamurkowski"
"MikeCrapo","ChrisMurphyCT"
"MikeCrapo","McCaskillOffice"
"MikeCrapo","SenJeffMerkley"
"MikeCrapo","Sen_JoeManchin"
"MikeCrapo","SenBillNelson"
"MikeCrapo","senrobportman"
"MikeCrapo","sendavidperdue"
"MikeCrapo","SenJackReed"
"MikeCrapo","SenatorReid"
"MikeCrapo","SenPatRoberts"
"MikeCrapo","SenatorRisch"
"MikeCrapo","SenRubioPress"
"MikeCrapo","SenatorRounds"
"MikeCrapo","SenSanders"
"MikeCrapo","SenSchumer"
"MikeCrapo","SenShelby"
"MikeCrapo","SenatorSessions"
"MikeCrapo","SenatorShaheen"
"MikeCrapo","SenatorTimScott"
"MikeCrapo","SenBrianSchatz"
"MikeCrapo","SenJohnThune"
"MikeCrapo","SenToomey"
"MikeCrapo","SenatorTester"
"MikeCrapo","SenatorTomUdall"
"MikeCrapo","SenatorWicker"
"MikeCrapo","RonWyden"
"MikeCrapo","SenWhitehouse"
"MikeCrapo","MarkWarner"
"MikeCrapo","SenWarren"
"SenatorCollins","SenAlexander"
"SenatorCollins","RoyBlunt"
"SenatorCollins","SenatorBoxer"
"SenatorCollins","SenSherrodBrown"
"SenatorCollins","SenatorBurr"
"SenatorCollins","SenatorBaldwin"
"SenatorCollins","JohnBoozman"
"SenatorCollins","SenJohnBarrasso"
"SenatorCollins","SenBennetCO"
"SenatorCollins","SenBlumenthal"
"SenatorCollins","SenatorCantwell"
"SenatorCollins","SenatorCardin"
"SenatorCollins","SenatorCarper"
"SenatorCollins","SenDanCoats"
"SenatorCollins","SenThadCochran"
"SenatorCollins","MikeCrapo"
"SenatorCollins","SenCapito"
"SenatorCollins","JohnCornyn"
"SenatorCollins","SenBobCasey"
"SenatorCollins","SenBobCorker"
"SenatorCollins","SenCoonsOffice"
"SenatorCollins","SenTomCotton"
"SenatorCollins","SenatorDurbin"
"SenatorCollins","SenDonnelly"
"SenatorCollins","SenatorEnzi"
"SenatorCollins","SenFeinstein"
"SenatorCollins","JeffFlake"
"SenatorCollins","SenatorFischer"
"SenatorCollins","ChuckGrassley"
"SenatorCollins","SenCoryGardner"
"SenatorCollins","SenOrrinHatch"
"SenatorCollins","SenDeanHeller"
"SenatorCollins","maziehirono"
"SenatorCollins","MartinHeinrich"
"SenatorCollins","SenJohnHoeven"
"SenatorCollins","SenatorHeitkamp"
"SenatorCollins","InhofePress"
"SenatorCollins","SenatorIsakson"
"SenatorCollins","SenRonJohnson"
"SenatorCollins","SenatorKirk"
"SenatorCollins","SenAngusKing"
"SenatorCollins","SenatorLeahy"
"SenatorCollins","SenMikeLee"
"SenatorCollins","SenJohnMcCain"
"SenatorCollins","McConnellPress"
"SenatorCollins","SenatorMenendez"
"SenatorCollins","SenatorBarb"
"SenatorCollins","JerryMoran"
"SenatorCollins","PattyMurray"
"SenatorCollins","lisamurkowski"
"SenatorCollins","ChrisMurphyCT"
"SenatorCollins","McCaskillOffice"
"SenatorCollins","SenJeffMerkley"
"SenatorCollins","Sen_JoeManchin"
"SenatorCollins","SenBillNelson"
"SenatorCollins","senrobportman"
"SenatorCollins","SenGaryPeters"
"SenatorCollins","SenJackReed"
"SenatorCollins","SenatorReid"
"SenatorCollins","SenPatRoberts"
"SenatorCollins","SenatorRisch"
"SenatorCollins","SenRubioPress"
"SenatorCollins","SenSanders"
"SenatorCollins","SenSchumer"
"SenatorCollins","SenShelby"
"SenatorCollins","SenStabenow"
"SenatorCollins","SenatorSessions"
"SenatorCollins","SenatorShaheen"
"SenatorCollins","SenatorTimScott"
"SenatorCollins","SenBrianSchatz"
"SenatorCollins","SenJohnThune"
"SenatorCollins","SenToomey"
"SenatorCollins","SenThomTillis"
"SenatorCollins","SenatorTomUdall"
"SenatorCollins","SenatorWicker"
"SenatorCollins","RonWyden"
"SenatorCollins","SenWhitehouse"
"SenatorCollins","MarkWarner"
"SenatorCollins","SenWarren"
