"year","state","county","rep","dem","other"
1960,"georgia","mcintosh",451,794,0
1960,"georgia","macon",438,1488,0
1960,"georgia","madison",205,2418,0
1960,"georgia","marion",154,645,0
1960,"georgia","meriwether",706,3100,0
1960,"georgia","miller",62,1116,0
1960,"georgia","mitchell",430,3264,0
1960,"georgia","monroe",581,1642,0
1960,"georgia","montgomery",381,1451,0
1960,"georgia","morgan",373,1488,0
1960,"georgia","murray",925,1876,0
1960,"georgia","muscogee",9578,8553,0
1960,"georgia","newton",708,3185,0
1960,"georgia","oconee",297,1218,0
1960,"georgia","oglethorpe",142,1406,0
1960,"georgia","paulding",812,2396,0
1960,"georgia","peach",628,1433,0
1960,"georgia","pickens",1943,1473,0
1960,"georgia","pierce",544,1449,0
1960,"georgia","pike",255,1028,0
1960,"georgia","polk",1746,4351,0
1960,"georgia","pulaski",334,1156,0
1960,"georgia","putnam",305,1104,0
1960,"georgia","quitman",67,388,0
1960,"georgia","rabun",464,1552,0
1960,"georgia","randolph",457,1436,0
1960,"georgia","richmond",11978,9868,0
1960,"georgia","rockdale",496,1765,0
1960,"georgia","schley",138,467,0
1960,"georgia","screven",957,1490,0
1960,"georgia","seminole",77,1579,0
1960,"georgia","spalding",1753,4426,0
1960,"georgia","stephens",815,3087,0
1960,"georgia","stewart",302,646,0
1960,"georgia","sumter",962,2274,0
1960,"georgia","talbot",207,771,0
1960,"georgia","taliaferro",148,655,0
1960,"georgia","tattnall",869,1908,0
1960,"georgia","taylor",365,1201,0
1960,"georgia","telfair",791,2922,0
1960,"georgia","terrell",285,1352,0
1960,"georgia","thomas",2285,3226,0
1960,"georgia","tift",1423,2964,0
1960,"georgia","toombs",1038,2209,0
1960,"georgia","towns",1272,1052,0
1960,"georgia","treutlen",216,927,0
1960,"georgia","troup",2808,5745,0
1960,"georgia","turner",328,1545,0
1960,"georgia","twiggs",263,845,0
1960,"georgia","union",1537,1185,0
1960,"georgia","upson",1001,3262,0
1960,"georgia","walker",4027,4566,0
1960,"georgia","walton",403,3095,0
1960,"georgia","ware",2235,5099,0
1960,"georgia","warren",375,471,0
1960,"georgia","washington",956,2004,0
1960,"georgia","wayne",1384,2862,0
1960,"georgia","webster",77,297,0
1960,"georgia","wheeler",226,970,0
1960,"georgia","white",662,1784,0
1960,"georgia","whitfield",4148,3604,0
1960,"georgia","wilcox",306,1714,0
1960,"georgia","wilkes",395,1786,0
1960,"georgia","wilkinson",631,1324,0
1960,"georgia","worth",338,2110,0
1960,"idaho","ada",27703,17017,0
1960,"idaho","adams",799,724,0
1960,"idaho","bannock",9157,12586,0
1960,"idaho","bear lake",1963,1563,0
1960,"idaho","benewah",1274,1756,0
1960,"idaho","bingham",5934,4843,0
1960,"idaho","blaine",1216,1252,0
1960,"idaho","boise",456,432,0
1960,"idaho","bonner",3575,4064,0
1960,"idaho","bonneville",11111,8845,0
1960,"idaho","boundary",1237,1501,0
1960,"idaho","butte",680,1001,0
1960,"idaho","camas",284,322,0
1960,"idaho","canyon",15865,9681,0
1960,"idaho","caribou",1544,1293,0
1960,"idaho","cassia",4297,2445,0
1960,"idaho","clark",283,176,0
1960,"idaho","clearwater",1193,2407,0
1960,"idaho","custer",651,838,0
1960,"idaho","elmore",2226,2440,0
1960,"idaho","franklin",2633,1352,0
1960,"idaho","fremont",2230,1887,0
1960,"idaho","gem",2428,1976,0
1960,"idaho","gooding",2523,2005,0
1960,"idaho","idaho",2248,3256,0
1960,"idaho","jefferson",2625,2374,0
1960,"idaho","jerome",3031,2151,0
1960,"idaho","kootenai",6704,7744,0
1960,"idaho","latah",4789,4636,0
1960,"idaho","lemhi",1355,1283,0
1960,"idaho","lewis",781,1432,0
1960,"idaho","lincoln",970,783,0
1960,"idaho","madison",2374,1678,0
1960,"idaho","minidoka",3360,2467,0
1960,"idaho","nez perce",5203,7944,0
1960,"idaho","oneida",1111,799,0
1960,"idaho","owyhee",1500,1129,0
1960,"idaho","payette",3472,2133,0
1960,"idaho","power",1065,960,0
1960,"idaho","shoshone",3432,5001,0
1960,"idaho","teton",714,569,0
1960,"idaho","twin falls",12171,7413,0
1960,"idaho","valley",1179,916,0
1960,"idaho","washington",2251,1779,0
1960,"illinois","adams",18674,14827,28
1960,"illinois","alexander",4143,4477,18
1960,"illinois","bond",4297,2856,9
1960,"illinois","boone",6552,2605,5
1960,"illinois","brown",1889,1849,2
1960,"illinois","bureau",12597,7786,24
1960,"illinois","calhoun",1654,1608,5
1960,"illinois","carroll",6282,3097,39
1960,"illinois","cass",4015,3692,8
1960,"illinois","champaign",27793,17115,533
1960,"illinois","christian",9263,10207,15
1960,"illinois","clark",5319,3949,5
1960,"illinois","clay",5134,3394,10
1960,"illinois","clinton",5709,6188,6
1960,"illinois","coles",12166,8629,19
1960,"illinois","cook",1059607,1378343,7319
1960,"illinois","crawford",6809,4245,4
1960,"illinois","cumberland",3020,2475,5
1960,"illinois","dekalb",15586,6783,19
1960,"illinois","de witt",5074,3607,8
1960,"illinois","douglas",5761,3532,6
1960,"illinois","dupage",101014,44263,168
1960,"illinois","edgar",7348,5024,4
1960,"illinois","edwards",3291,1446,8
1960,"illinois","effingham",6410,5676,6
1960,"illinois","fayette",6586,4907,11
1960,"illinois","ford",5779,2698,1
1960,"illinois","franklin",11861,11368,37
1960,"illinois","fulton",11999,10194,58
1960,"illinois","gallatin",2179,2386,5
1960,"illinois","greene",4487,3847,10
1960,"illinois","grundy",6948,4276,4
1960,"illinois","hamilton",3804,2639,11
1960,"illinois","hancock",8036,4947,7
1960,"illinois","hardin",1944,1465,4
1960,"illinois","henderson",2572,1697,4
1960,"illinois","henry",14297,10372,21
1960,"illinois","iroquois",11376,5821,16
1960,"illinois","jackson",10568,8527,17
1960,"illinois","jasper",3393,3027,1
1960,"illinois","jefferson",9841,7784,0
1960,"illinois","jersey",4247,4087,9
1960,"illinois","jo daviess",6111,4293,13
1960,"illinois","johnson",2778,1413,6
1960,"illinois","kane",55389,31279,93
1960,"illinois","kankakee",20311,17115,26
1960,"illinois","kendall",5975,2242,11
1960,"illinois","knox",17938,11889,23
1960,"illinois","lake",67809,46941,149
1960,"illinois","lasalle",27552,27532,41
1960,"illinois","lawrence",6120,3667,13
1960,"illinois","lee",10835,5896,8
1960,"illinois","livingston",13139,6642,2
1960,"illinois","logan",9383,5691,16
1960,"illinois","mcdonough",9363,4520,10
1960,"illinois","mchenry",25787,12659,62
1960,"illinois","mclean",24758,13971,32
1960,"illinois","macon",27151,26029,108
1960,"illinois","macoupin",11731,13120,45
1960,"illinois","madison",42984,54787,133
1960,"illinois","marion",11121,9116,13
1960,"illinois","marshall",4150,2981,7
1960,"illinois","mason",4337,3824,19
1960,"illinois","massac",4521,2644,6
1960,"illinois","menard",3120,2068,5
1960,"illinois","mercer",5582,3476,3
1960,"illinois","monroe",4731,3398,4
1960,"illinois","montgomery",9178,8815,14
1960,"illinois","morgan",9791,7259,12
1960,"illinois","moultrie",3752,3079,0
1960,"illinois","ogle",13226,4792,7
1960,"illinois","peoria",45529,39061,86
1960,"illinois","perry",6708,4958,6
1960,"illinois","piatt",4506,2889,4
1960,"illinois","pike",5965,5461,10
1960,"illinois","pope",1689,971,5
1960,"illinois","pulaski",2621,2322,18
1960,"illinois","putnam",1457,1160,2
1960,"illinois","randolph",7988,7344,15
1960,"illinois","richland",5329,3015,9
1960,"illinois","rock island",32534,33812,108
1960,"illinois","st clair",42046,67367,338
1960,"illinois","saline",8853,6835,19
1960,"illinois","sangamon",41483,35793,59
1960,"illinois","schuyler",3047,2115,2
1960,"illinois","scott",2267,1543,4
1960,"illinois","shelby",6872,5720,11
1960,"illinois","stark",2925,1383,6
1960,"illinois","stephenson",13872,8055,68
1960,"illinois","tazewell",23967,20521,38
1960,"illinois","union",4432,4321,10
1960,"illinois","vermilion",26571,19702,69
1960,"illinois","wabash",4261,3013,4
1960,"illinois","warren",7221,3835,10
1960,"illinois","washington",5053,3093,11
1960,"illinois","wayne",6652,3954,9
1960,"illinois","white",5810,4756,11
1960,"illinois","whiteside",17434,9112,46
1960,"illinois","will",42575,41056,81
1960,"illinois","williamson",13732,11335,29
1960,"illinois","winnebago",49541,40090,110
1960,"illinois","woodford",8101,4401,7
1960,"indiana","adams",6972,4338,99
1960,"indiana","allen",60103,39235,280
1960,"indiana","bartholomew",13606,9290,130
1960,"indiana","benton",3626,2399,7
1960,"indiana","blackford",3738,3228,43
1960,"indiana","boone",8979,5377,60
1960,"indiana","brown",1679,1533,32
1960,"indiana","carroll",5411,3299,34
1960,"indiana","cass",11392,8091,94
1960,"indiana","clark",12803,14431,70
1960,"indiana","clay",7434,5342,58
1960,"indiana","clinton",9620,6533,64
1960,"indiana","crawford",2915,2305,35
1960,"indiana","daviess",8285,5433,45
1960,"indiana","dearborn",7619,6216,19
1960,"indiana","decatur",6240,4080,50
1960,"indiana","dekalb",8957,5277,61
1960,"indiana","delaware",26167,23266,177
1960,"indiana","dubois",5117,8214,22
1960,"indiana","elkhart",28056,16264,373
1960,"indiana","fayette",6729,5246,48
1960,"indiana","floyd",11629,12346,62
1960,"indiana","fountain",6123,4277,29
1960,"indiana","franklin",4108,3523,14
1960,"indiana","fulton",6038,3047,48
1960,"indiana","gibson",8838,7479,82
1960,"indiana","grant",19021,13642,178
1960,"indiana","greene",8810,6325,104
1960,"indiana","hamilton",13409,5511,64
1960,"indiana","hancock",7543,4930,55
1960,"indiana","harrison",5374,4566,49
1960,"indiana","hendricks",12490,6481,95
1960,"indiana","henry",13752,9629,149
1960,"indiana","howard",17938,13415,149
1960,"indiana","huntington",10658,7163,109
1960,"indiana","jackson",8213,6582,66
1960,"indiana","jasper",5364,2959,16
1960,"indiana","jay",6519,4899,74
1960,"indiana","jefferson",6333,5119,40
1960,"indiana","jennings",4478,3403,27
1960,"indiana","johnson",12426,7400,93
1960,"indiana","knox",11490,9918,108
1960,"indiana","kosciusko",13539,5839,213
1960,"indiana","lagrange",4433,1965,24
1960,"indiana","lake",78278,132554,526
1960,"indiana","laporte",22738,20317,85
1960,"indiana","lawrence",11119,6977,86
1960,"indiana","madison",31098,28154,193
1960,"indiana","marion",166202,121336,668
1960,"indiana","marshall",10460,6210,74
1960,"indiana","martin",2756,2585,5
1960,"indiana","miami",8844,6191,96
1960,"indiana","monroe",14513,7535,136
1960,"indiana","montgomery",10957,5477,77
1960,"indiana","morgan",9416,5375,69
1960,"indiana","newton",3517,1870,14
1960,"indiana","noble",8069,5264,54
