"age","male","income","white","college","usborn","treatment","ideology","numberim.pre","numberim.post","remain.pre","remain.post","english.pre","english.post"
38,1,87500,0,1,0,1,2,3,3,3,5,3,3
48,1,42500,1,1,1,0,3,2,2,2,2,1,1
43,1,135000,1,1,1,1,2,3,NA,2,2,4,4
20,0,135000,1,1,0,1,1,3,4,2,2,3,4
52,0,105000,1,1,1,0,1,3,3,1,1,1,3
38,1,87500,1,1,0,0,1,3,2,2,3,4,4
45,1,250000,1,1,1,0,2,3,2,2,2,2,2
55,0,105000,1,1,1,0,3,3,3,2,2,3,3
38,0,87500,1,1,1,0,1,2,2,1,1,1,1
45,0,135000,1,1,1,0,2,1,1,1,1,1,1
44,1,300000,1,1,1,0,3,2,3,2,2,4,4
36,1,135000,1,1,0,1,2,3,3,5,4,4,5
29,0,42500,0,1,0,1,4,4,5,2,5,3,5
42,1,62500,0,1,0,1,2,2,3,4,4,4,3
43,0,135000,1,1,1,0,2,3,3,1,2,3,3
54,0,105000,1,1,1,1,1,3,3,2,2,3,3
39,1,135000,1,1,1,1,3,4,3,1,1,4,4
31,1,135000,1,1,0,0,3,3,3,1,1,3,2
50,1,135000,1,1,1,0,3,3,3,4,3,5,4
60,0,87500,1,0,1,0,2,5,3,1,2,4,4
67,1,135000,1,1,1,0,2,5,4,3,2,5,3
54,0,135000,1,1,1,0,3,1,1,1,1,1,1
44,0,250000,0,1,1,0,2,3,3,4,3,3,3
50,0,175000,1,1,1,1,3,3,4,4,4,4,4
20,1,135000,1,0,1,0,2,5,4,4,2,5,5
57,1,105000,1,1,1,0,1,1,1,1,1,1,1
25,0,135000,0,1,1,1,2,2,3,1,1,1,1
60,1,250000,1,1,1,1,2,1,3,1,1,3,3
44,1,62500,1,0,1,1,5,5,4,4,5,5,5
39,1,62500,0,1,0,0,NA,2,NA,4,NA,3,NA
35,0,87500,1,1,1,1,2,2,3,3,2,2,3
54,1,135000,1,1,1,1,2,2,2,1,2,1,2
52,1,135000,1,1,0,1,3,5,3,5,5,5,5
47,1,300000,1,1,1,1,5,3,1,5,4,5,5
60,1,105000,1,1,1,0,2,2,2,1,2,2,2
47,1,300000,1,1,1,0,4,2,2,2,2,5,4
22,1,42500,1,1,1,0,2,2,2,2,2,2,2
56,0,250000,1,0,1,1,2,3,3,3,3,5,5
49,1,87500,1,1,1,1,4,3,NA,5,5,5,4
50,1,87500,1,1,0,1,2,3,3,2,2,2,2
21,1,135000,1,1,1,0,3,5,5,5,5,5,5
29,0,250000,1,1,1,0,2,3,2,1,1,5,5
45,1,300000,1,1,1,0,5,3,1,5,5,4,5
46,1,135000,0,1,0,1,1,3,3,1,1,1,1
42,1,135000,1,1,1,0,4,3,3,3,3,5,5
23,1,135000,1,1,1,1,3,3,3,5,5,1,1
29,1,62500,1,0,1,0,3,4,5,4,4,3,5
60,0,135000,1,0,1,0,1,2,2,2,2,1,2
41,0,135000,1,1,1,0,1,2,2,2,1,2,2
30,0,135000,1,1,1,0,2,4,3,4,3,4,4
49,0,300000,1,1,1,0,NA,2,NA,2,NA,5,NA
61,1,135000,1,1,1,0,4,3,3,1,1,5,5
21,0,135000,1,1,1,0,3,2,2,4,4,5,4
46,1,250000,1,1,1,0,4,3,3,3,4,5,5
53,1,250000,1,1,1,1,4,5,4,2,4,5,4
52,0,250000,1,1,0,0,2,NA,2,2,1,1,2
45,1,87500,1,1,1,0,3,3,3,4,4,1,1
46,1,250000,1,1,1,0,3,3,3,1,2,2,3
33,1,300000,1,1,1,1,NA,3,NA,5,NA,3,NA
63,1,250000,1,1,1,0,4,3,3,5,2,5,5
21,0,250000,1,1,1,0,5,5,2,5,5,5,5
31,1,87500,1,1,1,0,2,3,3,3,3,3,3
35,0,105000,1,1,1,1,4,5,4,5,5,5,5
22,0,135000,1,1,1,0,3,3,3,4,4,5,4
68,0,62500,1,1,1,0,2,3,3,4,3,4,4
27,1,105000,1,0,1,1,2,3,3,1,1,4,4
22,1,105000,1,1,1,1,2,1,2,1,1,1,1
30,0,62500,1,1,0,1,3,2,2,2,5,5,5
59,1,62500,1,0,1,1,3,3,3,1,2,5,5
56,0,62500,1,1,1,0,2,3,3,4,1,3,3
32,0,42500,1,1,1,1,4,5,5,3,2,5,5
35,0,62500,1,1,1,1,3,3,3,4,4,3,3
23,1,300000,1,1,1,0,3,3,1,1,1,5,4
60,1,135000,0,1,0,0,2,4,3,4,5,5,5
50,1,250000,1,1,1,0,5,4,3,4,5,5,4
31,1,62500,1,0,1,1,2,1,3,1,1,1,1
43,0,300000,1,1,1,1,1,3,3,4,5,5,5
30,0,105000,1,1,1,1,3,4,4,2,5,5,5
54,1,105000,1,1,1,0,3,3,3,4,3,2,2
52,0,105000,1,0,1,1,4,2,3,4,2,5,5
52,1,23500,1,1,1,0,1,3,3,1,1,3,3
50,0,62500,1,1,1,0,4,5,5,5,5,3,3
37,1,87500,1,1,0,1,3,2,2,1,1,5,5
27,1,105000,0,1,0,1,2,4,3,2,2,5,4
55,0,250000,0,1,1,0,4,3,3,4,5,3,4
42,1,87500,0,0,1,0,3,2,3,1,1,4,5
68,1,300000,1,1,1,0,3,3,3,4,4,2,1
52,0,135000,1,1,1,0,2,2,3,2,2,2,2
32,1,135000,1,1,1,0,NA,4,NA,2,NA,4,NA
50,0,135000,1,1,1,1,2,1,1,2,2,4,4
