Year,CountryAbb,CountryName,idealpoint,PctAgreeUS,PctAgreeRUSSIA
1984,BHM,Bahamas,0.2282331,0.08333333,0.6458333
1985,BHM,Bahamas,0.2186303,0.1292517,0.6917808
1986,BHM,Bahamas,0.2357789,0.1232877,0.7310345
1987,BHM,Bahamas,0.08072085,0.1294964,0.8928571
1988,BHM,Bahamas,0.07341177,0.104,0.8951613
1989,BHM,Bahamas,-0.04779039,0.09821429,0.9196429
1990,BHM,Bahamas,-0.08809549,0.1547619,0.8809524
1991,BHM,Bahamas,-0.2707296,0.1527778,0.6338028
1992,BHM,Bahamas,-0.3550788,0.1454545,0.5454545
1993,BHM,Bahamas,-0.2822792,0.203125,0.46875
1994,BHM,Bahamas,-0.1244184,0.3283582,0.5820896
1995,BHM,Bahamas,0.110814,0.2727273,0.6103896
1996,BHM,Bahamas,-0.01212677,0.3285714,0.6376812
1997,BHM,Bahamas,-0.1402154,0.2575758,0.6818182
1998,BHM,Bahamas,-0.1943543,0.2280702,0.6842105
1999,BHM,Bahamas,-0.2293369,0.2063492,0.6984127
2000,BHM,Bahamas,-0.3185482,0.2272727,0.7230769
2001,BHM,Bahamas,-0.2566402,0.1724138,0.7413793
2002,BHM,Bahamas,-0.3275059,0.1690141,0.7391304
2003,BHM,Bahamas,-0.3204957,0.173913,0.7826087
2004,BHM,Bahamas,-0.4596145,0.07352941,0.7910448
2005,BHM,Bahamas,-0.5387373,0.08823529,0.7352941
2006,BHM,Bahamas,-0.3584126,0.1162791,0.755814
2007,BHM,Bahamas,-0.3205235,0.1168831,0.7236842
2008,BHM,Bahamas,-0.383031,0.1343284,0.7164179
2009,BHM,Bahamas,-0.4456338,0.109375,0.6875
2010,BHM,Bahamas,-0.3545362,0.1846154,0.7076923
2011,BHM,Bahamas,-0.3677525,0.234375,0.703125
2012,BHM,Bahamas,-0.3840595,0.2089552,0.7164179
1946,CUB,Cuba,1.213859,0.675,0.3
1947,CUB,Cuba,1.058621,0.6578947,0.3157895
1948,CUB,Cuba,0.8768335,0.6043956,0.2777778
1949,CUB,Cuba,0.7996337,0.5555556,0.4126984
1950,CUB,Cuba,0.6670591,0.6415094,0.2884615
1951,CUB,Cuba,0.7449026,0.44,0.36
1952,CUB,Cuba,0.9838728,0.755102,0.2653061
1953,CUB,Cuba,1.043724,0.64,0.44
1954,CUB,Cuba,1.018602,0.5666667,0.4333333
1955,CUB,Cuba,1.439081,0.7037037,0.2222222
1956,CUB,Cuba,1.263613,0.7666667,0.1666667
1957,CUB,Cuba,1.233618,0.8125,0.21875
1958,CUB,Cuba,1.242843,0.8484848,0.3636364
1959,CUB,Cuba,0.2434124,0.2777778,0.7037037
1960,CUB,Cuba,-1.263643,0.2038835,0.8640777
1961,CUB,Cuba,-1.731294,0.109589,0.9324324
1962,CUB,Cuba,-1.844298,0.08823529,1
1963,CUB,Cuba,-2.074997,0.137931,1
1965,CUB,Cuba,-1.879507,0.225,0.925
1966,CUB,Cuba,-1.853051,0.09090909,0.9318182
1967,CUB,Cuba,-1.405596,0.1403509,0.7719298
1968,CUB,Cuba,-1.346946,0.2352941,0.6176471
1969,CUB,Cuba,-0.4902523,0.2195122,0.7142857
1970,CUB,Cuba,-1.392275,0.1451613,0.9677419
1971,CUB,Cuba,-1.479251,0.3418803,0.8135593
1972,CUB,Cuba,-1.606466,0.2134831,0.7666667
1973,CUB,Cuba,-1.886277,0.2528736,0.908046
1974,CUB,Cuba,-2.046958,0.25,0.8472222
1975,CUB,Cuba,-1.873417,0.25,0.8676471
1976,CUB,Cuba,-1.763466,0.1282051,0.875
1977,CUB,Cuba,-1.793348,0.2386364,0.8314607
1978,CUB,Cuba,-1.643405,0.2520325,0.76
1979,CUB,Cuba,-1.38957,0.15,0.7438017
1980,CUB,Cuba,-1.477572,0.09375,0.8333333
1981,CUB,Cuba,-1.605002,0.07575758,0.8796992
1982,CUB,Cuba,-1.546301,0.07741935,0.8774194
1983,CUB,Cuba,-1.566387,0.08108108,0.8783784
1984,CUB,Cuba,-1.701987,0.0397351,0.9139073
1985,CUB,Cuba,-1.803304,0.05921053,0.9072848
1986,CUB,Cuba,-1.701464,0.06622517,0.9
1987,CUB,Cuba,-1.70524,0.03623188,0.9208633
1988,CUB,Cuba,-1.592852,0.06015038,0.9318182
1989,CUB,Cuba,-1.542208,0.03508772,0.9473684
1990,CUB,Cuba,-1.655326,0.07142857,0.8809524
1991,CUB,Cuba,-1.780903,0.05555556,0.4929577
1992,CUB,Cuba,-1.749666,0.05555556,0.4027778
1993,CUB,Cuba,-1.734124,0.06349206,0.3174603
1994,CUB,Cuba,-1.568932,0.1428571,0.3650794
1995,CUB,Cuba,-1.738707,0.07594937,0.4050633
1996,CUB,Cuba,-1.856637,0.07246377,0.5147059
1997,CUB,Cuba,-1.902779,0.08823529,0.5441176
1998,CUB,Cuba,-1.742459,0.1272727,0.6296296
1999,CUB,Cuba,-1.60909,0.1212121,0.6515152
2000,CUB,Cuba,-1.417732,0.1384615,0.734375
2001,CUB,Cuba,-1.335872,0.078125,0.7460317
2002,CUB,Cuba,-1.159299,0.1142857,0.7647059
2003,CUB,Cuba,-1.305501,0.08108108,0.7162162
2004,CUB,Cuba,-1.282903,0.05714286,0.7536232
2005,CUB,Cuba,-1.369667,0.05633803,0.7323944
2006,CUB,Cuba,-1.255737,0.08139535,0.8023256
2007,CUB,Cuba,-1.322099,0.02777778,0.7746479
2008,CUB,Cuba,-1.333106,0.04225352,0.7464789
2009,CUB,Cuba,-1.496369,0.04545455,0.7424242
2010,CUB,Cuba,-1.511436,0.09230769,0.7575758
2011,CUB,Cuba,-1.713392,0.078125,0.703125
2012,CUB,Cuba,-1.681723,0.1029412,0.6764706
1946,HAI,Haiti,0.6274961,0.4545455,0.4090909
1947,HAI,Haiti,0.4476724,0.6285714,0.5142857
1948,HAI,Haiti,0.6595699,0.5824176,0.2333333
1949,HAI,Haiti,0.6234542,0.5,0.5217391
1950,HAI,Haiti,0.8374276,0.76,0.2653061
1951,HAI,Haiti,0.7638506,0.48,0.48
1952,HAI,Haiti,0.6077744,0.5416667,0.375
1953,HAI,Haiti,0.8191249,0.48,0.48
1954,HAI,Haiti,0.7367298,0.5925926,0.4444444
1955,HAI,Haiti,0.682167,0.55,0.3
1956,HAI,Haiti,0.5995236,0.8135593,0.3050847
1957,HAI,Haiti,0.3991045,0.6774194,0.516129
1958,HAI,Haiti,0.7617054,0.9090909,0.3636364
1959,HAI,Haiti,0.9791769,0.5882353,0.3921569
1960,HAI,Haiti,0.8375274,0.65,0.3125
1961,HAI,Haiti,0.6467709,0.6060606,0.2686567
1962,HAI,Haiti,0.4589203,0.5853659,0.4878049
1963,HAI,Haiti,0.4523776,0.45,0.45
1965,HAI,Haiti,0.6521396,0.5172414,0.4137931
1966,HAI,Haiti,0.9053627,0.5777778,0.3111111
1967,HAI,Haiti,0.521401,0.4,0.5714286
1968,HAI,Haiti,0.495714,0.4047619,0.4047619
1969,HAI,Haiti,0.3077198,0.4,0.48
1970,HAI,Haiti,0.7088819,0.6346154,0.3076923
1971,HAI,Haiti,0.8630591,0.6052632,0.4545455
1972,HAI,Haiti,0.7079878,0.4594595,0.5333333
1973,HAI,Haiti,0.5336091,0.3285714,0.5571429
1974,HAI,Haiti,0.6833689,0.3666667,0.4666667
1975,HAI,Haiti,1.077343,0.4363636,0.3272727
1976,HAI,Haiti,1.122907,0.3703704,0.4444444
1977,HAI,Haiti,0.3673963,0.3793103,0.6022727
1978,HAI,Haiti,0.3078753,0.3884298,0.5365854
1979,HAI,Haiti,0.1307826,0.279661,0.6134454
1980,HAI,Haiti,0.1785052,0.1969697,0.6363636
1981,HAI,Haiti,0.2429413,0.1386139,0.7352941
1982,HAI,Haiti,0.1065023,0.1782178,0.7227723
1983,HAI,Haiti,0.2645305,0.2017544,0.6140351
1984,HAI,Haiti,0.2198187,0.1338028,0.7112676
1985,HAI,Haiti,0.1943621,0.1290323,0.7419355
1986,HAI,Haiti,0.01807954,0.1619718,0.8085106
1987,HAI,Haiti,-0.007013609,0.1311475,0.8842975
1988,HAI,Haiti,-0.1554597,0.1138211,0.9344262
1989,HAI,Haiti,-0.3450247,0.0952381,0.9619048
1990,HAI,Haiti,-0.3361306,0.1692308,0.9076923
1991,HAI,Haiti,-0.5236431,0.09836066,0.55
1992,HAI,Haiti,-0.5289999,0.1666667,0.530303
1993,HAI,Haiti,-0.4247206,0.1833333,0.4833333
1994,HAI,Haiti,-0.338215,0.3230769,0.5538462
1995,HAI,Haiti,-0.2957089,0.2658228,0.5696203
1996,HAI,Haiti,-0.2462442,0.3333333,0.6617647
1997,HAI,Haiti,-0.2732746,0.3090909,0.6909091
1998,HAI,Haiti,-0.3810325,0.25,0.6607143
1999,HAI,Haiti,-0.3996688,0.234375,0.671875
2000,HAI,Haiti,-0.4228441,0.25,0.7288136
2001,HAI,Haiti,-0.4333403,0.1428571,0.7142857
2002,HAI,Haiti,-0.6616956,0.115942,0.7462687
2003,HAI,Haiti,-0.7229893,0.1,0.7714286
2004,HAI,Haiti,0.2349361,0.2,0.59375
2005,HAI,Haiti,-0.118502,0.1538462,0.6153846
2006,HAI,Haiti,-0.1597748,0.1325301,0.746988
2007,HAI,Haiti,-0.4751562,0.05194805,0.7105263
2008,HAI,Haiti,-0.3464257,0.07575758,0.6515152
2009,HAI,Haiti,-0.4446119,0.1372549,0.627451
2010,HAI,Haiti,-0.5987318,0.1076923,0.7272727
2011,HAI,Haiti,-0.2759135,0.2459016,0.6721311
2012,HAI,Haiti,-0.3827134,0.1818182,0.6818182
1946,DOM,Dominican Republic,1.553699,0.6585366,0.2439024
1947,DOM,Dominican Republic,1.722056,0.7631579,0.1315789
1948,DOM,Dominican Republic,1.638521,0.7979798,0.122449
1949,DOM,Dominican Republic,1.328854,0.6031746,0.2063492
1950,DOM,Dominican Republic,1.461986,0.68,0.1836735
1951,DOM,Dominican Republic,1.113953,0.52,0.4
1952,DOM,Dominican Republic,1.249958,0.5918367,0.2040816
1953,DOM,Dominican Republic,1.528376,0.64,0.16
1954,DOM,Dominican Republic,1.477416,0.4482759,0.3103448
1955,DOM,Dominican Republic,1.529895,0.7037037,0.2222222
1956,DOM,Dominican Republic,1.554156,0.75,0.1166667
1957,DOM,Dominican Republic,1.72763,0.7647059,0.08823529
1958,DOM,Dominican Republic,1.8457,0.6969697,0.1515152
1959,DOM,Dominican Republic,1.956736,0.7592593,0.1111111
1960,DOM,Dominican Republic,0.8169606,0.4901961,0.1960784
1961,DOM,Dominican Republic,1.230102,0.8235294,0.1014493
1962,DOM,Dominican Republic,1.225603,0.7692308,0.2051282
1963,DOM,Dominican Republic,1.11051,0.625,0.25
1965,DOM,Dominican Republic,0.9170408,0.5789474,0.4473684
1966,DOM,Dominican Republic,0.8145066,0.5869565,0.326087
1967,DOM,Dominican Republic,0.7871759,0.5652174,0.4565217
1968,DOM,Dominican Republic,0.5134669,0.4651163,0.3953488
1969,DOM,Dominican Republic,0.5844485,0.4615385,0.475
1970,DOM,Dominican Republic,0.7666435,0.6,0.34
1971,DOM,Dominican Republic,0.9772846,0.5714286,0.4070796
1972,DOM,Dominican Republic,0.9880228,0.4878049,0.3855422
1973,DOM,Dominican Republic,1.110942,0.4310345,0.362069
1974,DOM,Dominican Republic,0.9009169,0.3846154,0.4923077
1975,DOM,Dominican Republic,0.8294237,0.3442623,0.4754098
1976,DOM,Dominican Republic,0.6192033,0.2278481,0.5925926
1977,DOM,Dominican Republic,0.6306887,0.4069767,0.5057471
1978,DOM,Dominican Republic,0.6643549,0.4736842,0.4329897
1979,DOM,Dominican Republic,0.3014854,0.2815534,0.6442308
1980,DOM,Dominican Republic,0.5582154,0.2886598,0.5257732
1981,DOM,Dominican Republic,0.4611285,0.1984733,0.5833333
1982,DOM,Dominican Republic,0.09018024,0.1666667,0.6666667
1983,DOM,Dominican Republic,0.1576405,0.1597222,0.6736111
1984,DOM,Dominican Republic,0.1097651,0.1088435,0.7346939
1985,DOM,Dominican Republic,0.02505728,0.1486486,0.7414966
1986,DOM,Dominican Republic,0.1472095,0.1870504,0.7826087
1987,DOM,Dominican Republic,0.1412067,0.1307692,0.8854962
1988,DOM,Dominican Republic,0.141105,0.1311475,0.9016393
1989,DOM,Dominican Republic,-0.028951,0.09615385,0.9038462
1990,DOM,Dominican Republic,-0.1207529,0.1774194,0.8387097
1991,DOM,Dominican Republic,-0.1210686,0.2142857,0.7380952
1992,DOM,Dominican Republic,0.1484764,0.2352941,0.6764706
1993,DOM,Dominican Republic,0.2110727,0.2542373,0.559322
1996,DOM,Dominican Republic,-0.08715437,0.3809524,0.6
1997,DOM,Dominican Republic,-0.1211232,0.3636364,0.5454545
1998,DOM,Dominican Republic,-0.277996,0.3243243,0.5555556
1999,DOM,Dominican Republic,-0.3262056,0.2619048,0.6190476
2000,DOM,Dominican Republic,-0.3243771,0.2121212,0.7272727
2001,DOM,Dominican Republic,-0.3606245,0.140625,0.71875
2002,DOM,Dominican Republic,-0.3688817,0.1527778,0.7285714
2003,DOM,Dominican Republic,-0.09135065,0.1710526,0.7631579
2004,DOM,Dominican Republic,-0.06182416,0.1617647,0.7014925
2005,DOM,Dominican Republic,-0.02400147,0.1690141,0.6338028
2006,DOM,Dominican Republic,-0.003126845,0.1529412,0.6823529
2007,DOM,Dominican Republic,-0.4239106,0.05194805,0.7105263
2008,DOM,Dominican Republic,-0.4614824,0.08333333,0.6944444
2009,DOM,Dominican Republic,-0.5407019,0.1212121,0.6969697
2010,DOM,Dominican Republic,-0.5690401,0.140625,0.7384615
2011,DOM,Dominican Republic,-0.5953177,0.1875,0.6875
2012,DOM,Dominican Republic,-0.5442512,0.1764706,0.6764706
1962,JAM,Jamaica,0.5348364,0.5142857,0.3428571
1963,JAM,Jamaica,0.6646896,0.5806452,0.3870968
1965,JAM,Jamaica,0.2147827,0.3,0.625
1966,JAM,Jamaica,0.2363166,0.4,0.48
1967,JAM,Jamaica,0.6251917,0.5818182,0.4363636
1968,JAM,Jamaica,0.5416924,0.3137255,0.3137255
1969,JAM,Jamaica,0.6325168,0.4390244,0.4285714
1970,JAM,Jamaica,0.5633994,0.4354839,0.3548387
1971,JAM,Jamaica,0.4431196,0.4705882,0.4916667
1972,JAM,Jamaica,0.3054824,0.3939394,0.54
1973,JAM,Jamaica,0.1603792,0.2592593,0.5925926
1974,JAM,Jamaica,0.1467513,0.2238806,0.6119403
1975,JAM,Jamaica,-0.02079818,0.25,0.6764706
1976,JAM,Jamaica,-0.08938151,0.2048193,0.7058824
1977,JAM,Jamaica,-0.1839806,0.3255814,0.6666667
1978,JAM,Jamaica,-0.1875862,0.3471074,0.6260163
1979,JAM,Jamaica,-0.2037626,0.2735043,0.6610169
1980,JAM,Jamaica,-0.2001095,0.185567,0.7216495
1981,JAM,Jamaica,0.4597222,0.1860465,0.5769231
1982,JAM,Jamaica,0.04864768,0.1202532,0.6835443
1983,JAM,Jamaica,-0.03394818,0.1506849,0.7191781
1984,JAM,Jamaica,0.02708319,0.1079137,0.7482014
1985,JAM,Jamaica,0.08953189,0.1549296,0.7304965
1986,JAM,Jamaica,0.1696898,0.1586207,0.7708333
1987,JAM,Jamaica,0.07269644,0.1190476,0.8809524
1988,JAM,Jamaica,-0.1269852,0.09734513,0.9375
1989,JAM,Jamaica,-0.1350201,0.0877193,0.9210526
1990,JAM,Jamaica,-0.2186386,0.1428571,0.8928571
1991,JAM,Jamaica,-0.1476716,0.1527778,0.6619718
1992,JAM,Jamaica,-0.2348623,0.1527778,0.5
1993,JAM,Jamaica,-0.1672365,0.2063492,0.4761905
1994,JAM,Jamaica,-0.2265761,0.2923077,0.5384615
1995,JAM,Jamaica,-0.1689672,0.2658228,0.5822785
1996,JAM,Jamaica,-0.2050065,0.2837838,0.630137
1997,JAM,Jamaica,-0.2788052,0.2463768,0.6666667
1998,JAM,Jamaica,-0.2708346,0.2131148,0.65
1999,JAM,Jamaica,-0.3496676,0.1818182,0.7272727
2000,JAM,Jamaica,-0.3449086,0.2586207,0.7586207
2001,JAM,Jamaica,-0.3635999,0.171875,0.7777778
2002,JAM,Jamaica,-0.4427758,0.1408451,0.7536232
2003,JAM,Jamaica,-0.5251593,0.1315789,0.7631579
2004,JAM,Jamaica,-0.5936103,0.08955224,0.7878788
2005,JAM,Jamaica,-0.6561226,0.08219178,0.739726
2006,JAM,Jamaica,-0.6081901,0.05952381,0.75
2007,JAM,Jamaica,-0.662749,0.06493506,0.6973684
2008,JAM,Jamaica,-0.6999123,0.08450704,0.6901408
2009,JAM,Jamaica,-0.5415859,0.1212121,0.6666667
2010,JAM,Jamaica,-0.5481774,0.140625,0.6923077
2011,JAM,Jamaica,-0.4908171,0.234375,0.703125
2012,JAM,Jamaica,-0.556154,0.1940299,0.6865672
1962,TRI,Trinidad and Tobago,0.5133466,0.5714286,0.4
1963,TRI,Trinidad and Tobago,0.5954106,0.5555556,0.4444444
1965,TRI,Trinidad and Tobago,0.3145628,0.3636364,0.7272727
1966,TRI,Trinidad and Tobago,0.7135706,0.5348837,0.372093
1967,TRI,Trinidad and Tobago,0.8286477,0.6,0.48
1968,TRI,Trinidad and Tobago,0.6179157,0.4,0.32
1969,TRI,Trinidad and Tobago,0.5740834,0.3846154,0.4358974
1970,TRI,Trinidad and Tobago,0.4227498,0.3111111,0.4666667
1971,TRI,Trinidad and Tobago,0.07913782,0.4329897,0.5816327
1972,TRI,Trinidad and Tobago,-0.06181456,0.3333333,0.5744681
1973,TRI,Trinidad and Tobago,0.003108184,0.2533333,0.6133333
1974,TRI,Trinidad and Tobago,-0.009118007,0.2647059,0.6176471
1975,TRI,Trinidad and Tobago,-0.05359523,0.25,0.65625
1976,TRI,Trinidad and Tobago,-0.205864,0.2117647,0.7241379
1977,TRI,Trinidad and Tobago,-0.2762917,0.3409091,0.6516854
1978,TRI,Trinidad and Tobago,-0.1262852,0.3790323,0.5952381
1979,TRI,Trinidad and Tobago,-0.2018752,0.2666667,0.6528926
1980,TRI,Trinidad and Tobago,-0.1002988,0.2475248,0.6534653
1981,TRI,Trinidad and Tobago,-0.2539696,0.1578947,0.738806
1982,TRI,Trinidad and Tobago,-0.2702159,0.133758,0.7261146
1983,TRI,Trinidad and Tobago,-0.219428,0.1517241,0.7172414
1984,TRI,Trinidad and Tobago,-0.3634964,0.0952381,0.7891156
1985,TRI,Trinidad and Tobago,-0.3706049,0.1533333,0.7785235
1986,TRI,Trinidad and Tobago,-0.2717519,0.1283784,0.8095238
1987,TRI,Trinidad and Tobago,-0.3519145,0.1014493,0.9352518
1988,TRI,Trinidad and Tobago,-0.3006537,0.09022556,0.9469697
1989,TRI,Trinidad and Tobago,-0.344582,0.07894737,0.9385965
1990,TRI,Trinidad and Tobago,-0.5120207,0.1547619,0.952381
1991,TRI,Trinidad and Tobago,-0.6460647,0.1388889,0.5774648
1992,TRI,Trinidad and Tobago,-0.6129,0.1846154,0.4923077
1993,TRI,Trinidad and Tobago,-0.5760911,0.1833333,0.4333333
1994,TRI,Trinidad and Tobago,-0.4495054,0.3030303,0.530303
1995,TRI,Trinidad and Tobago,-0.370945,0.2435897,0.5641026
1996,TRI,Trinidad and Tobago,-0.2639438,0.2816901,0.6285714
1997,TRI,Trinidad and Tobago,-0.284654,0.2575758,0.6666667
1998,TRI,Trinidad and Tobago,-0.2632233,0.1964286,0.625
1999,TRI,Trinidad and Tobago,-0.3497184,0.2153846,0.6461538
2000,TRI,Trinidad and Tobago,-0.2970767,0.3191489,0.6170213
2001,TRI,Trinidad and Tobago,-0.2930487,0.1639344,0.6885246
2002,TRI,Trinidad and Tobago,-0.3875532,0.1571429,0.6911765
2003,TRI,Trinidad and Tobago,-0.5105837,0.1369863,0.739726
2004,TRI,Trinidad and Tobago,-0.5527432,0.08823529,0.7761194
2005,TRI,Trinidad and Tobago,-0.5768769,0.09090909,0.7014925
2006,TRI,Trinidad and Tobago,-0.6186956,0.07142857,0.75
2007,TRI,Trinidad and Tobago,-0.6580385,0.06666667,0.7162162
2008,TRI,Trinidad and Tobago,-0.611047,0.1029412,0.6911765
2009,TRI,Trinidad and Tobago,-0.5469878,0.1212121,0.6515152
2010,TRI,Trinidad and Tobago,-0.6102496,0.1363636,0.7014925
2011,TRI,Trinidad and Tobago,-0.6450753,0.1929825,0.7192982
