"altitude","population","village.surveyed"
1955.24,2534,0
2499.28,310,0
1878.84,287,0
1878.84,79,0
1969.36,1032,0
2668.72,70,0
1969.36,478,0
1917.4,776,0
1878.84,154,1
1917.4,357,1
1969.36,192,0
1917.4,222,0
1917.4,209,0
2668.72,158,0
2604.4399,56,0
1917.4,858,0
1969.36,239,0
1941.48,474,0
1998.2,654,0
1955.12,481,0
2302.8401,1057,1
1997.48,110,0
1941.48,362,0
1941.48,663,0
1955.12,782,1
1955.12,1206,0
1955.12,614,0
1955.12,31,0
2019.3199,140,0
1998.2,342,0
1997.48,1259,0
1931,1011,0
1941.48,945,0
1931,204,0
1998.2,333,0
1931,107,0
1963.76,544,0
2019.3199,800,0
1955.12,490,0
1924,400,0
1998.2,268,0
1955.12,253,0
1955.12,386,0
1941.48,252,1
1955.12,136,0
1931,1087,0
1955.12,198,0
1941.48,1144,0
1941.48,413,0
2134.28,782,0
1961.5601,1099,0
2068.8799,967,0
1941.48,207,0
1955.12,622,0
1941.48,433,1
1989.96,330,0
1961.5601,417,1
1941.48,600,0
1941.48,456,0
1941.48,1187,0
2035.2,80,0
1931,348,0
1941.48,314,0
2019.3199,209,0
2019.3199,321,0
1931,1089,0
2068.8799,654,0
1997.48,260,0
1955.12,41,0
1931,457,0
1941.48,410,0
1941.48,300,0
1941.48,218,0
1938,200,0
1931,437,0
1955.12,826,0
1931,909,0
2035.2,555,0
1955.12,541,0
1931,724,0
2487.4399,34,0
1955.12,709,0
1931,437,0
1931,375,1
2068.8799,324,0
1941.48,434,0
2019.3199,394,0
1941.48,272,0
1941.48,644,0
1931,301,0
1955.12,478,0
1961.5601,1023,0
1941.48,205,0
1955.12,490,0
1931,504,0
1998.2,651,0
2035.2,764,0
1941.48,873,0
1955.12,721,0
1941.48,350,1
1961.5601,606,0
1941.48,739,0
1963.76,201,0
1998.2,509,1
1963.76,885,0
1941.48,24963,0
1931,155,0
1955.12,264,0
1961.5601,1156,0
2019.3199,239,0
1961.5601,1049,0
1931,318,0
1961.5601,174,0
1955.12,213,0
1955.12,249,0
1997.48,2811,0
2019.3199,258,0
1941.48,555,0
1955.12,399,0
1997.48,3900,0
1961.5601,582,0
1931,617,0
2134.28,314,0
2035.2,1136,0
2035.2,193,0
2019.3199,547,0
1941.48,144,0
1955.12,1247,0
1931,422,1
1941.48,1021,0
1931,529,1
1961.5601,430,0
2019.3199,527,0
1955.12,340,0
1941.48,253,0
2019.3199,144,0
1955.12,617,0
1931,201,0
1955.12,378,1
1955.12,172,0
2035.2,242,0
1941.48,303,1
2035.2,575,0
2035.2,470,0
1961.5601,518,0
1955.12,344,1
1941.48,103,1
1955.12,560,1
1961.5601,327,0
1955.12,360,0
1961.5601,806,0
1931,252,0
2407.8799,106,0
2743.52,584,0
2864.6001,174,0
2478.9199,84,0
2962.8799,383,0
2348,934,0
2698.8,72,0
2743.52,308,0
2168.96,873,0
2218.28,93,0
2168.96,346,1
2869.3999,96,0
2962.8799,57,0
2864.6001,46,0
2896.28,270,0
2284.04,214,0
2896.28,432,0
2869.3999,17,0
2864.6001,141,0
2407.8799,263,0
2962.8799,89,1
2869.3999,36,0
2284.04,550,1
2407.8799,661,0
2896.28,194,1
2284.04,264,0
2407.8799,5985,0
2698.8,85,0
2284.04,451,0
2161.52,402,0
2698.8,40,1
2168.96,1077,0
2478.9199,32,0
2407.8799,397,0
2168.96,1089,0
2869.3999,40,0
2698.8,60,0
3251.6001,87,0
2284.04,272,0
2284.04,147,0
2499.28,98,0
2664.24,41,0
1162.2,1276,0
1102.6,384,0
1086.8,830,0
1173.24,2223,0
1173.24,862,0
1120.8,3093,0
1181.04,2684,0
1162.2,1187,0
1057.8,850,0
1286.3199,3032,0
1212.6,946,0
1112.16,796,0
1141.4,533,0
1141.4,814,0
1173.24,327,0
1339.52,90,0
1339.52,2672,0
1056.6,498,0
1086.8,1385,0
1173.24,624,0
1120.8,728,0
1086.8,353,0
1056.6,763,0
1102.6,1537,0
1162.2,378,1
1056.6,717,0
1056.6,1445,0
1090.2,565,0
1363.96,837,0
1181.04,908,0
1120.8,1073,0
1057.8,300,0
1173.24,1203,0
1056.6,1147,0
1141.4,673,0
1181.04,1434,0
1057.8,1497,0
1114.5601,302,1
1056.6,361,1
1458.84,814,0
1233.76,490,0
1173.24,655,0
1072.2,872,0
1173.24,1123,0
1120.8,8593,0
1086.8,442,0
1086.8,1991,0
1102.6,863,0
1181.04,254,0
1056.6,308,1
1120.8,415,0
1036.28,35,0
1339.52,1064,0
1173.24,1111,1
1102.6,58,0
1162.2,342,0
1120.8,796,0
1086.8,48,0
1141.4,121,0
1141.4,150,0
1086.8,300,0
1056.6,1356,0
1072.2,245,0
1162.2,3339,0
1181.04,600,1
1233.76,358,0
1086.8,907,0
1233.76,498,0
1090.2,124,0
1181.04,593,0
1173.24,1780,0
1212.6,2343,0
1057.8,156,0
1057.8,1230,0
1162.2,475,0
1173.24,685,0
1072.2,1559,0
1181.04,187,0
1173.24,562,0
1114.5601,161,0
1162.2,78,0
1282.2,834,0
1086.8,1674,1
1102.6,323,0
1233.76,2111,0
1086.8,963,0
1233.76,2363,0
1173.24,987,0
1173.24,555,0
1173.24,1025,0
1112.16,304,0
1173.24,1005,0
1056.6,591,0
1086.8,389,0
1102.6,336,0
1102.6,569,0
1056.6,699,0
1162.2,391,0
1212.6,1855,0
1086.8,596,1
1086.8,838,0
1056.6,1154,0
1162.2,834,0
1162.2,1332,0
1057.8,2534,0
1120.8,684,0
1173.24,765,0
1102.6,533,1
1086.8,115,1
1286.3199,633,0
1173.24,687,0
1233.76,1351,0
1141.4,313,0
1233.76,5712,0
1112.16,133,0
1181.04,1298,1
1072.2,638,0
1056.6,202,0
1314.4399,329,0
1090.2,710,0
1162.2,1073,0
1162.2,2834,0
1250.2,1562,0
1181.04,561,0
1120.8,326,1
1016.24,639,0
1250.2,818,0
1173.24,747,0
1314.4399,447,0
1090.2,299,0
1173.24,9500,0
1181.04,1042,0
1141.4,256,0
1233.76,897,1
1233.76,3182,0
1112.16,307,0
1086.8,164,0
1016.24,397,0
1120.8,314,0
1173.24,949,0
1252.24,34,0
1056.6,477,0
1120.8,527,1
1233.76,750,0
1056.6,220,0
1141.4,452,0
1016.24,1284,0
1112.16,599,1
1173.24,841,0
1141.4,766,0
1086.8,2449,0
1252.24,105,1
1086.8,255,0
1181.04,1129,0
1086.8,1472,1
1057.8,1443,0
1086.8,285,0
1324.6,343,0
1703.04,326,0
2045.48,472,0
1703.04,530,0
1250.6801,799,0
1223.2,128,0
1925.3199,1502,0
1601.28,410,1
2024.96,1248,0
1410.52,146,0
1344.04,10100,0
1703.04,908,1
1410.52,47,0
1410.52,75,0
1413.36,1996,0
2057.3999,1884,0
1294.24,105,0
1728.96,716,0
1324.6,129,0
1250.6801,288,0
1250.6801,580,0
1410.52,339,0
1250.6801,406,0
1250.6801,419,0
2045.48,249,1
1340.76,173,0
2045.48,311,0
1591.52,210,1
1410.52,217,0
1410.52,122,0
2375.24,686,0
2535.52,45,0
1250.6801,29,1
1294.24,186,0
1294.24,688,0
1703.04,258,0
1324.6,1038,0
2323.3201,564,0
1250.6801,425,0
1250.6801,323,0
1294.24,111,0
1502.8,1117,1
2024.96,378,0
1410.52,13,0
1558.2,180,0
2088.3201,144,1
1728.96,1076,0
1340.76,237,0
2057.3999,520,0
1344.04,108,0
1294.24,303,0
1601.28,1708,0
1925.3199,2042,0
1703.04,417,0
1752.08,113,0
2089.04,1374,0
2088.3201,201,0
1223.2,323,0
2535.52,2111,0
1410.52,453,0
1925.3199,136,0
2057.3999,322,0
1340.76,430,0
2089.04,334,0
1344.04,87,0
1344.04,79,1
1562.4,631,0
2024.96,861,0
2089.04,1068,1
1294.24,80,0
1250.6801,118,0
2271.48,426,0
2375.24,57,0
2057.3999,111,0
1324.6,50,0
1324.6,261,0
1344.04,499,0
1212.6,536,0
1638.92,891,0
1344.04,140,0
2057.3999,355,0
1925.3199,349,0
1344.04,175,0
1601.28,23,0
1601.28,360,0
1340.76,435,0
1703.04,108,1
2375.24,186,0
1562.4,57,0
1250.6801,466,1
1344.04,5302,0
1410.52,277,0
1250.6801,232,0
1562.4,113,0
1250.6801,120,0
1925.3199,1121,1
1324.6,759,0
1591.52,1892,1
1410.52,809,0
2089.04,220,0
1925.3199,200,0
1294.24,59,0
2024.96,965,0
1703.04,1113,0
2375.24,631,0
1684.76,1109,0
1294.24,216,0
1324.6,325,0
1410.52,30,0
1925.3199,893,0
1250.6801,790,0
1250.6801,163,0
1324.6,357,0
2271.48,703,0
1250.6801,304,0
1250.6801,532,0
1294.24,428,0
2535.52,285,0
1410.52,18,0
2488.2,151,0
2512.04,309,0
2251.1201,188,0
1858.52,400,0
2105.5601,228,0
2425.3601,1118,0
1973.72,343,0
2490.96,138,0
2425.3601,41,0
2405.5601,836,0
2237.48,356,0
2425.3601,196,0
1973.72,229,1
2235.3999,150,0
1752.3199,419,0
1973.72,680,0
1942.08,84,0
1942.08,451,0
2094.1599,651,0
2054.96,166,0
2188.1201,1012,0
2054.96,40,0
2105.5601,350,0
1973.72,1149,0
2251.1201,86,0
2712.0801,3979,1
2506.6799,199,0
1973.72,40,0
1973.72,248,0
2094.1599,729,0
2209.04,581,0
1858.52,586,1
1942.08,365,0
2506.6799,450,0
2237.48,275,0
2054.96,648,0
1973.72,426,0
2237.48,239,0
2054.96,770,0
1973.72,263,0
2425.3601,154,0
2054.96,219,1
2235.3999,138,0
2094.1599,1005,0
1973.72,282,0
2237.48,1027,0
2697,823,0
2259.72,228,1
2094.1599,179,0
2105.5601,451,0
2094.1599,738,0
2259.72,265,0
1858.52,514,0
2251.1201,184,0
2209.04,618,1
2251.1201,425,0
1858.52,78,0
2425.3601,1173,0
1942.08,265,0
2237.48,955,1
2425.3601,243,0
1973.72,10561,0
2039.28,95,0
2360.8401,114,0
2442.72,199,0
2360.8401,341,0
2096.6001,833,1
2442.72,115,0
2769.1201,337,0
2096.6001,1003,0
2360.8401,241,0
2096.6001,345,0
2360.8401,332,0
2096.6001,494,1
2121.0801,225,1
2039.28,853,0
2096.6001,833,0
2781.3999,889,0
2096.6001,916,0
2360.8401,1668,0
2121.0801,628,0
2039.28,250,0
2769.1201,2001,1
1768.6801,241,0
2769.1201,1038,0
2360.8401,64,0
1879.6801,166,0
2781.3999,1125,0
2360.8401,34,0
2360.8401,173,0
2360.8401,1266,0
2121.0801,1339,0
2360.8401,19,0
2096.6001,7599,0
2360.8401,160,0
2442.72,647,0
1170.28,3362,1
1170.28,914,0
1179.76,1037,0
1170.28,2086,0
1170.28,147,0
1030,100,0
1275.2,1582,0
1170.28,2406,0
1170.28,242,0
1170.28,892,0
1170.28,445,1
1179.76,840,0
1179.76,943,0
1095.76,1071,0
1257.12,247,1
1214,3000,0
1170.28,1286,1
1170.28,695,0
1179.76,1367,0
1170.28,1265,0
1170.28,1119,0
1425.12,686,0
1425.12,723,0
1168,500,0
1117.4,289,0
1179.76,1719,0
1179.76,600,0
1092.12,386,0
1257.12,1021,0
1170.28,479,0
1170.28,547,0
1170.28,702,0
1173,1000,0
1496.08,406,0
1029.96,562,0
1015.56,727,1
1276.48,769,0
1351.2,815,0
1014.48,5384,0
990.48,979,0
990.48,3937,0
1360.04,1180,0
973.76,451,0
1042.04,187,0
963,469,0
1533.8,181,0
1019.8,648,0
1432.76,298,0
1351.2,270,0
1174.4,297,0
973.76,119,0
1063.6,1053,0
1351.2,434,0
1014.48,11823,0
1029.96,668,0
973.76,362,0
973.76,271,0
1014.48,82,0
990.48,966,0
951.32,835,0
935.56,528,0
1104.24,995,0
990.48,496,0
1029.96,629,0
1014.48,6509,1
1019.8,1686,1
990.48,1619,0
1409.4399,213,0
1014.48,1413,0
1179.48,307,0
1234.04,280,0
928.08,1412,0
951.32,952,1
1308.4399,512,1
1014.48,2682,0
1179.48,144,0
1130.16,143,0
990.48,541,0
1533.8,232,0
1130.16,89,0
935.56,965,0
908.16,2688,0
1419.64,139,0
1104.24,629,0
1151.2,90,1
1018,1900,0
1104.24,1537,0
1320.3199,1167,0
977.96,737,0
951.32,381,0
1015.92,614,1
935.56,1635,0
947.56,1076,0
1308.4399,90,0
1088.52,568,0
973.76,2705,0
986.24,1186,0
1019.8,538,0
990.48,508,0
935.56,535,0
902,150,0
1360.04,1983,1
1072.28,9978,0
951.32,4803,0
1193,733,0
1014.48,3152,0
986.24,337,0
928.08,1719,0
1015.56,918,1
1432.76,480,0
1042.04,614,0
1041.84,1330,0
990.48,206,0
1058.5601,2078,0
926.12,941,0
935.56,263,0
1001.28,2317,0
1151.2,221,0
1320.3199,259,0
976.44,670,0
951.32,610,0
1072.28,1330,0
986.24,338,1
1179.48,203,0
1524.4,156,0
1004,1000,0
928.08,501,0
976.44,87,0
986.24,714,0
1041.84,573,0
1151.2,152,0
1226.04,973,0
1015.92,680,0
1029.96,669,1
1419.64,1586,0
951.32,3405,0
1041.84,1217,0
1351.2,1335,0
1014.48,2386,0
1308.4399,479,0
973.76,2592,0
1015.56,46,0
1020,2000,0
1042.04,460,0
1088.6801,517,0
1088.6801,992,0
973.76,615,0
1053.84,358,1
1014.48,3519,0
1063.6,1024,0
1419.64,964,0
1395.72,1363,0
990.48,614,0
926.12,2940,0
1104.24,1469,0
1041.84,977,0
1036.96,1997,1
1409.4399,185,0
908.16,2240,1
928.08,1427,0
1104.24,582,0
990.48,1340,0
1079.6801,1104,0
973.76,2526,0
1308.4399,289,0
1104.24,546,0
1130.3199,293,0
1058.5601,507,0
947.56,610,0
1019.8,733,0
1037.88,365,0
1932.08,33,0
1075.4399,867,0
1476.4,379,0
1077.12,3189,0
1515.04,501,0
1374.92,641,1
1954.8,343,0
1934.72,499,0
1932.08,997,0
969.72,268,0
1208.72,214,0
987.6,127,0
1567.72,316,0
1954.8,588,0
1092.6,974,0
958.96,184,0
1483.96,1134,0
1776,345,0
1440.72,212,0
1962.16,173,0
1783.88,475,0
1771.08,1411,0
1374.92,371,0
996.84,164,1
1459.28,20,0
1718.84,312,0
1245.04,685,1
1124.2,253,0
1734.92,1171,0
979.76,270,0
1822.2,872,0
1324.12,384,0
1208.72,4601,0
1470.28,916,0
987.6,394,0
1208.72,978,0
977.56,323,0
1803,468,0
1208.72,572,0
1306.64,179,0
958.96,204,0
1017.48,603,0
994.12,251,0
1275.88,605,0
963.16,136,0
1990.04,1001,0
1470.28,350,0
978.24,351,0
982.84,812,0
1075.4399,185,1
1006.32,163,0
1978.04,412,1
1301.2,1934,0
1184.6,1895,0
1324.12,683,0
1954.8,278,0
997.44,382,0
1515.04,620,0
1470.28,818,0
997.44,341,0
987.6,255,1
1978.04,1461,0
1208.72,2088,1
1163.6,646,0
1736.96,312,0
987.6,2132,0
948.68,84,0
1654.04,259,0
1655,353,0
1993.76,142,0
1932.08,158,0
1616.72,500,0
969.72,82,0
2019.8,333,0
1722.16,1160,0
1231.88,936,0
2044.4,133,0
1655,782,0
1208.72,767,0
1993.76,272,1
1822.2,147,0
958.96,1111,0
995.8,546,0
1113.76,2092,0
1535.76,179,1
1014.8,1654,0
1295.6801,667,0
1188,204,0
1459.28,128,0
1184.6,202,0
1543.92,604,0
1962.16,610,0
982.84,513,0
1308.4399,1471,0
982.84,300,0
1056.8,1995,0
1013.4,499,0
1208.72,2081,0
987.6,165,0
1262.88,483,1
1515.04,663,0
1558.8,794,1
1038.12,265,0
1440.72,946,0
1962.16,557,0
1613.96,119,0
1774.16,105,0
1934.72,685,0
1654.04,232,0
995.8,184,0
2175,212,0
1208.72,1227,0
1736.96,1267,0
1262.88,1286,0
1530.28,612,0
1245.04,345,0
1934.72,579,1
1783.88,432,0
1113.76,275,0
1245.04,78,1
979.76,355,0
978.28,69,0
1275.88,1836,0
958.96,761,0
1262.88,851,0
2045.24,72,0
1483.96,94,0
1736.96,1208,0
998.16,655,1
1655,847,0
982.84,340,0
1188,202,0
1932.08,64,0
1822.2,405,0
1706.24,1116,0
1216.72,86,0
1208.72,899,0
1208.72,489,0
963.16,447,0
1706.04,474,0
1208.72,1350,1
1239.64,334,0
1179.84,360,0
1655,248,0
1404.92,298,0
1208.72,265,0
979.76,140,1
998.16,860,0
676.12,430,0
692.12,847,1
695.72,513,0
673.24,959,0
718.36,1093,0
703.24,842,1
735.6,46,0
667.48,467,0
703.24,654,0
714.92,755,0
746.2,107,0
692.12,1283,0
695.72,173,1
716.32,414,0
671.04,890,0
671.04,186,0
716.2,1026,0
684.28,475,0
658.28,885,0
706.12,489,0
723.16,69,0
703.24,1607,0
714.88,390,0
645.4,385,1
706.12,663,0
676.12,502,0
714.92,54,0
692.12,934,0
676.12,396,0
713.28,591,1
690.48,272,0
706.12,2261,1
716.2,700,1
682.04,1511,0
714.92,239,0
714.92,619,0
716.2,627,0
714.88,1212,0
690.48,310,0
703.24,273,0
714.88,310,0
667.48,1236,0
716.32,302,0
683.52,204,0
714.88,2209,0
692.12,825,0
671.08,421,1
714.88,708,0
716,1028,0
692.2,645,0
692.2,277,1
673.24,210,0
713.28,695,0
719.138,200,1
658.28,1016,0
658.28,537,0
680.36,281,0
667.48,56,0
683.52,285,0
671.04,599,0
719.28,228,0
706.12,164,1
667.48,1532,0
684.28,873,0
713.28,520,0
658.28,1008,0
714.92,504,0
690.48,782,0
680.36,1885,0
695.72,104,0
719.28,335,0
684.28,923,0
716.2,1269,0
716.2,535,0
667.48,289,0
692.2,935,1
671.08,341,0
716.32,596,0
720.32,267,0
719.28,130,0
703.24,812,0
716.32,684,0
719.6,998,0
680.36,612,0
716.2,298,0
683.52,778,1
714.88,328,0
671.08,988,0
723.16,20,0
706.12,1620,0
714.92,2061,0
654.72,1308,0
713.28,1582,0
714.92,1396,0
671.04,149,0
721.6,1400,0
692.12,1822,0
682.04,555,0
716.2,489,0
684.28,275,0
714.88,1061,0
719.28,291,0
673.24,648,0
706.12,381,0
692.2,1264,0
714.92,607,1
671.04,492,0
680.36,73,0
671.04,535,0
692.2,1616,0
667.48,112,0
722.2,597,0
684.28,96,0
706.12,419,0
716.32,1079,0
680.36,769,0
714.88,574,0
703.24,609,0
692.2,633,0
676.12,353,0
703.24,871,0
671.04,1883,0
723.16,285,0
654.72,111,0
716.32,490,1
720.32,1268,0
713.28,940,0
692.12,646,0
714.92,679,0
695.52,124,0
1546,450,0
650.32,960,0
712,50,0
722.2,614,0
716.2,1231,0
714.92,1166,0
723.16,647,0
719.28,159,0
716,1153,0
695.52,888,0
713.28,456,0
713.28,1117,0
650.32,139,0
650.32,211,0
723.16,393,1
654.08,448,0
692.2,674,0
676.12,595,0
695.44,330,0
717.4,1377,0
695.52,660,0
716,690,0
1151.48,248,0
879.28,392,0
1043.6801,249,0
1388.88,273,0
1400.2,711,0
1184.72,375,0
1334.84,487,0
1089.12,1113,0
1290.5601,511,0
1097.16,294,1
1684.76,473,0
974.24,432,0
1175.52,1160,0
1007,453,0
1196.08,114,0
997.76,186,0
1040.4,211,0
1126.92,532,1
1089.12,472,0
1521,298,0
1006.92,280,0
1082.96,314,0
1151.48,104,0
1054.88,964,0
1150.04,114,0
1196.08,103,0
1682.76,74,1
1142.24,389,0
1077.76,1082,0
1019.4,362,0
1242.08,369,0
1591,3189,0
1089.12,106,0
1128.12,422,1
1242.08,505,0
1151.48,238,1
1037.52,508,0
1290.5601,767,0
1128.12,1139,0
1188.6,715,0
1239.16,500,0
1175.52,422,0
974.24,111,0
1107.88,241,1
1128.12,694,0
1097.16,639,0
1235.3199,42,0
1121.28,193,0
1400.2,670,1
1591,734,0
1682.76,68,0
1122.72,188,0
1470.84,1563,0
1126.92,123,0
1019.4,349,0
1128.12,367,0
1148.28,200,0
770.6,249,0
764.4,578,0
792.24,516,0
792.24,389,0
789.08,546,0
761.32,1942,0
764.4,779,0
783.24,1164,0
800.48,664,0
777.44,1062,0
795.44,551,0
786.76,908,0
789.08,392,0
813.64,852,1
