"","caseid","gaytherm"
"210",158,69
"211",997,30
"212",890,98
"213",240,100
"214",559,70
"215",445,53
"216",855,100
"217",859,100
"218",628,78
"219",922,52
"220",417,3
"221",159,51
"222",594,41
"223",886,95
"224",863,31
"225",49,64
"226",691,NA
"227",499,50
"228",909,88
"229",587,75
"230",620,91
"231",538,100
"232",914,30
"233",769,100
"234",567,6
"235",787,50
"236",462,50
"237",396,100
"238",306,72
"239",483,100
"240",28,91
"241",96,63
"242",370,50
"243",137,53
"244",356,18
"245",55,86
"246",152,71
"247",369,96
"248",548,50
"249",669,57
"250",502,54
"251",272,100
"252",495,50
"253",848,38
"254",517,50
"255",16,51
"256",480,51
"257",683,52
"258",864,92
"259",535,5
"260",180,90
"261",392,21
"262",541,NA
"263",955,67
"264",401,50
"265",229,21
"266",619,50
"267",702,50
"268",455,NA
"269",466,50
"270",49,76
"271",448,94
"272",221,88
"273",537,3
"274",763,70
"275",745,70
"276",976,91
"277",165,92
"278",465,56
"279",858,50
"280",292,10
"281",728,22
"282",998,47
"283",173,97
"284",388,36
"285",116,NA
"286",777,66
"287",293,5
"288",903,96
"289",978,71
"290",869,94
"291",282,NA
"292",285,75
"293",145,51
"294",227,50
"295",502,26
"296",15,70
"297",761,50
"298",212,1
"299",22,65
"300",569,95
"301",579,NA
"302",789,100
"303",131,NA
"304",545,51
"305",664,61
"306",160,90
"307",355,32
"308",384,86
"309",555,NA
"310",288,42
"311",498,91
"312",428,41
"313",666,53
"314",319,91
"315",667,51
"316",214,NA
"317",153,23
"318",197,50
"319",803,50
"320",562,99
"321",750,31
"322",921,2
"323",746,3
"324",52,1
"325",723,50
"326",342,36
"327",888,94
"328",858,62
"329",514,54
"330",476,64
"331",679,70
"332",672,87
"333",718,56
"334",541,91
"335",906,77
"336",211,NA
"337",26,85
"338",459,58
"339",602,7
"340",782,52
"341",55,61
"342",370,52
"343",450,13
"344",224,NA
"345",792,90
"346",212,14
"347",57,14
"348",411,100
"349",149,95
"350",616,NA
"351",42,50
"352",594,51
"353",850,76
"354",34,62
"355",870,NA
"356",713,51
"357",944,50
"358",840,100
"359",327,51
"360",959,100
"361",26,NA
"362",847,91
"363",812,NA
"364",97,72
"365",815,52
"366",530,41
"367",341,63
"368",865,NA
"369",950,23
"370",311,100
"371",841,2
"372",485,86
"373",901,88
"374",123,58
"375",733,46
"376",535,50
"377",830,31
"378",253,62
"379",976,24
"380",31,59
"381",563,44
"382",266,20
"383",774,50
"384",776,38
"385",395,89
"386",848,65
"387",74,50
"388",378,91
"389",980,41
"390",363,99
"391",557,50
"392",235,80
"393",69,NA
"394",951,1
"395",888,100
"396",322,50
"397",519,75
"398",341,1
"399",528,32
"400",62,1
"401",995,100
"402",665,NA
"403",933,50
"404",374,53
"405",925,42
"406",137,81
"407",651,12
"408",618,71
"409",756,91
"410",127,NA
"411",389,NA
"412",569,98
"413",166,50
"414",144,50
"415",429,84
"416",635,34
"417",390,91
"418",316,NA
"419",30,77
"420",206,NA
"421",839,87
"422",264,NA
"423",185,75
"424",136,90
"425",932,51
"426",967,3
"427",139,100
"428",739,70
"429",934,54
"430",784,40
"431",597,99
"432",315,2
"433",412,54
"434",267,16
"435",413,100
"436",306,51
"437",53,68
"438",415,57
"439",678,71
"440",83,22
"441",959,71
"442",857,72
"443",833,91
"444",956,100
"445",610,46
"446",730,50
"447",118,99
"448",581,91
"449",553,91
"450",488,18
"451",665,80
"452",715,100
"453",880,NA
"454",815,100
"455",776,51
"456",893,41
"457",295,51
"458",11,9
"459",284,75
"460",200,89
"461",148,4
"462",423,NA
"463",613,50
"464",179,50
"465",683,7
"466",221,40
"467",802,50
"468",947,41
"469",963,50
"470",940,11
"471",599,70
"472",545,70
"473",175,51
"474",265,78
"475",857,100
"476",368,6
"477",100,100
"478",985,95
"479",730,72
"480",634,NA
"481",141,100
"482",136,50
"483",194,89
"484",779,92
"485",461,50
"486",407,60
"487",420,100
"488",607,66
"489",64,31
"490",405,69
"491",73,NA
"492",674,68
"493",473,52
"494",23,100
"495",704,NA
"496",624,50
"497",673,49
"498",311,50
"499",422,100
"500",963,94
"501",722,51
"502",370,62
"503",875,6
"504",188,7
"505",888,81
"506",626,NA
"507",399,4
"508",275,100
"509",757,100
"510",987,50
"511",470,51
"512",815,2
"513",545,91
"514",9,1
"515",198,50
"516",148,99
"517",707,91
"518",957,97
"519",142,56
"520",418,100
"521",752,96
"522",788,18
"523",355,20
"524",426,4
"525",707,97
"526",272,63
"527",88,27
"528",413,51
"529",289,52
"530",174,75
"531",49,91
"532",230,7
"533",959,75
"534",559,62
"535",399,61
"536",652,21
"537",500,NA
"538",39,1
"539",969,7
"540",312,87
"541",953,91
"542",575,22
"543",156,3
"544",121,NA
"545",383,71
"546",287,91
"547",170,41
"548",129,58
"549",126,81
"550",308,50
"551",524,NA
"552",800,31
"553",223,90
"554",637,50
"555",783,55
"556",412,55
"557",3,50
"558",289,27
"559",54,41
"560",575,6
"561",523,52
"562",540,89
"563",736,62
"564",15,2
"565",743,50
"566",787,85
"567",532,91
"568",378,41
"569",958,71
"570",481,26
"571",182,32
"572",796,17
"573",298,35
"574",314,51
"575",447,74
"576",110,95
"577",969,90
"578",559,95
"579",497,66
"580",707,100
"581",60,58
"582",497,11
"583",821,11
"584",603,100
"585",644,100
"586",766,41
"587",488,50
"588",973,6
"589",969,32
"590",794,100
"591",296,1
"592",845,40
"593",475,88
"594",485,99
"595",65,4
"596",254,12
"597",534,100
"598",36,50
"599",985,NA
"600",783,100
"601",141,50
"602",730,93
"603",127,74
"604",531,13
"605",289,11
"606",505,19
"607",581,62
"608",304,5
"609",468,78
"610",871,52
"611",327,7
"612",406,1
"613",899,3
"614",1,100
"615",846,70
"616",149,30
"617",712,38
"618",171,50
"619",296,69
"620",327,50
"621",321,70
"622",302,NA
"623",178,33
"624",725,59
"625",843,34
"626",638,95
"627",326,47
"628",221,50
"629",796,33
"630",299,50
"631",628,NA
"632",778,70
"633",319,42
"634",355,34
"635",744,97
"636",471,50
"637",851,47
"638",792,37
"639",699,NA
"640",483,100
"641",204,1
"642",482,50
"643",214,50
"644",931,62
"645",101,94
"646",377,64
"647",720,6
"648",149,85
"649",527,68
"650",463,100
"651",896,86
"652",963,99
"653",201,3
"654",197,50
"655",184,NA
"656",826,NA
"657",84,70
"658",452,100
"659",271,99
"660",276,86
"661",99,4
"662",963,100
"663",222,NA
"664",810,99
"665",556,51
"666",214,30
"667",330,45
"668",751,60
"669",140,NA
"670",688,69
"671",477,80
"672",434,86
"673",780,69
"674",465,100
"675",608,84
"676",799,100
"677",18,80
"678",159,51
"679",955,100
"680",472,69
"681",181,4
"682",961,53
"683",984,99
"684",94,89
"685",981,100
"686",882,37
"687",867,50
"688",523,32
"689",763,99
"690",276,59
"691",280,100
"692",144,0
"693",767,50
"694",295,100
"695",568,76
"696",749,50
"697",645,91
"698",562,75
"699",769,75
"700",808,58
"701",826,10
"702",292,2
"703",390,74
"704",28,80
"705",333,89
"706",238,61
"707",594,69
"708",820,50
"709",775,91
"710",384,91
"711",698,NA
"712",114,37
"713",188,84
"714",820,37
"715",333,46
"716",86,31
"717",824,7
"718",285,30
"719",697,100
"720",15,79
"721",849,51
"722",337,93
"723",993,89
"724",450,97
"725",928,3
"726",326,22
"727",238,42
"728",485,50
"729",120,20
"730",67,66
"731",786,17
"732",377,50
"733",260,100
"734",335,33
"735",456,98
"736",268,100
"737",169,81
"738",462,9
"739",104,70
"740",404,41
"741",198,21
"742",316,50
"743",334,61
"744",413,67
"745",902,19
"746",841,2
"747",438,30
"748",441,1
"749",860,18
"750",115,60
"751",764,79
"752",318,77
"753",224,11
"754",584,1
"755",736,50
"756",227,50
"757",717,NA
"758",338,96
"759",573,51
"760",209,51
"761",883,51
"762",833,50
"763",252,6
"764",856,70
"765",890,70
"766",437,100
"767",342,55
"768",278,81
"769",194,23
"770",747,2
"771",723,100
"772",757,NA
"773",892,91
"774",667,100
"775",781,50
"776",27,6
"777",912,100
"778",333,38
"779",224,84
"780",790,NA
"781",92,51
"782",92,39
"783",555,89
"784",511,19
"785",907,86
"786",936,98
"787",445,50
"788",562,50
"789",127,67
"790",872,100
"791",897,6
"792",534,52
"793",225,NA
"794",61,44
"795",867,98
"796",537,NA
"797",895,51
"798",265,82
"799",593,45
"800",887,53
"801",629,51
"802",481,100
"803",944,88
"804",596,45
"805",723,50
"806",1000,NA
"807",517,75
"808",638,23
"809",121,68
"810",697,76
"811",750,55
"812",273,75
"813",942,85
"814",211,59
"815",268,100
"816",403,1
"817",407,NA
"818",687,50
"819",740,100
"820",552,80
"821",499,100
"822",127,98
"823",873,100
"824",581,50
"825",928,51
"826",662,3
"827",848,100
"828",245,100
"829",610,62
"830",638,NA
"831",316,52
"832",506,NA
"833",46,2
"834",833,75
"835",64,65
"836",41,22
"837",392,NA
"838",297,40
"839",586,98
"840",739,50
"841",504,45
"842",148,30
"843",451,NA
"844",356,6
"845",109,54
"846",861,32
"847",164,32
"848",791,10
"849",200,61
"850",490,94
"851",548,78
"852",970,51
"853",644,51
"854",161,22
"855",305,NA
"856",811,NA
"857",1001,51
"858",788,82
"859",834,51
"860",682,100
"861",73,90
"862",636,31
"863",418,87
"864",792,NA
"865",788,50
"866",830,49
"867",751,66
"868",421,NA
"869",126,76
"870",125,NA
"871",707,1
"872",398,100
"873",231,80
"874",467,NA
"875",241,22
"876",672,96
"877",319,85
"878",860,48
"879",427,1
"880",767,NA
"881",177,52
"882",42,52
"883",388,50
"884",913,100
"885",630,51
"886",8,54
"887",367,97
"888",394,51
"889",131,2
"890",125,90
"891",606,50
"892",896,92
"893",502,53
"894",471,100
"895",554,88
"896",723,44
"897",106,89
"898",879,30
"899",70,50
"900",910,32
"901",365,NA
"902",63,5
"903",523,52
"904",537,NA
"905",30,NA
"906",758,NA
"907",738,98
"908",183,84
"909",203,100
"910",878,93
"911",621,89
"912",926,99
"913",226,3
"914",46,61
"915",69,77
"916",668,87
"917",870,26
"918",355,2
"919",860,60
"920",29,74
"921",46,92
"922",829,NA
"923",50,4
"924",221,NA
"925",107,87
"926",67,100
"927",427,96
"928",554,39
"929",288,50
"930",860,51
"931",10,NA
"932",700,90
"933",816,51
"934",362,97
"935",171,12
"936",472,41
"937",261,31
"938",84,50
"939",59,50
"940",253,7
"941",237,50
"942",663,NA
"943",710,21
"944",522,22
"945",99,100
"946",310,97
"947",695,50
"948",252,36
"949",168,100
"950",774,41
"951",470,95
"952",687,NA
"953",532,53
"954",995,50
"955",396,50
"956",829,8
"957",141,100
"958",816,36
"959",421,89
"960",492,NA
"961",824,50
"962",719,6
"963",669,98
"964",550,62
"965",402,92
"966",827,NA
"967",419,50
"968",202,100
"969",994,62
"970",564,50
"971",66,53
"972",102,92
"973",431,50
"974",720,100
"975",192,NA
"976",952,100
"977",423,50
"978",102,99
"979",421,60
"980",880,23
"981",450,63
"982",757,69
"983",840,44
"984",10,8
"985",841,7
"986",80,99
"987",407,43
"988",386,50
"989",512,3
"990",944,71
"991",241,56
"992",342,100
"993",892,51
"994",577,56
"995",557,87
"996",175,96
"997",374,90
"998",659,NA
"999",561,88
"1000",796,NA
"1001",50,59
"1002",340,79
"1003",1000,50
"1004",653,NA
"1005",885,62
"1006",180,90
"1007",28,70
"1008",784,51
"1009",320,6
"1010",510,50
"1011",173,60
"1012",540,90
"1013",179,46
"1014",530,48
"1015",380,12
"1016",469,91
"1017",550,7
"1018",422,99
"1019",104,85
"1020",383,100
"1021",721,17
"1022",308,100
"1023",400,9
"1024",418,85
"1025",551,52
"1026",975,90
"1027",712,97
"1028",557,47
"1029",668,90
"1030",382,52
"1031",164,41
"1032",729,NA
"1033",308,52
"1034",925,97
"1035",863,52
"1036",282,NA
"1037",103,100
"1038",34,50
"1039",413,52
"1040",979,100
"1041",494,50
"1042",789,51
"1043",454,31
"1044",424,50
"1045",626,100
"1046",431,66
"1047",721,14
"1048",397,100
"1049",27,100
"1050",991,52
"1051",649,91
"1052",162,41
"1053",526,99
"1054",208,70
"1055",441,93
"1056",485,59
"1057",853,50
"1058",82,72
"1059",495,10
"1060",537,95
"1061",237,97
"1062",793,10
"1063",855,100
"1064",705,NA
"1065",717,20
"1066",247,NA
"1067",60,54
"1068",58,56
"1069",902,12
"1070",7,52
"1071",218,76
"1072",837,87
"1073",734,41
"1074",927,50
"1075",570,99
"1076",43,2
"1077",452,51
"1078",839,100
"1079",829,20
"1080",787,22
"1081",888,68
"1082",213,100
"1083",720,57
"1084",383,50
"1085",852,17
"1086",726,41
"1087",66,NA
"1088",246,30
"1089",429,28
"1090",44,50
"1091",338,NA
"1092",314,91
"1093",336,91
"1094",64,85
"1095",866,91
"1096",938,41
"1097",77,23
"1098",115,62
"1099",60,27
"1100",877,84
"1101",871,98
"1102",144,100
"1103",687,23
"1104",37,59
"1105",437,99
"1106",902,50
"1107",355,3
"1108",811,9
"1109",471,40
"1110",149,96
"1111",972,3
"1112",645,80
"1113",955,49
"1114",22,84
"1115",552,41
"1116",513,54
"1117",690,42
"1118",357,78
"1119",897,80
"1120",781,55
"1121",259,100
"1122",728,3
"1123",163,50
"1124",135,90
"1125",719,58
"1126",595,1
"1127",884,NA
"1128",503,8
"1129",872,51
"1130",992,50
"1131",973,50
"1132",318,56
"1133",637,66
"1134",729,91
"1135",140,72
"1136",327,52
"1137",679,70
"1138",912,51
"1139",428,87
"1140",91,30
"1141",33,NA
"1142",948,1
"1143",793,16
"1144",100,50
"1145",962,49
"1146",921,50
"1147",888,66
"1148",981,50
"1149",906,50
"1150",678,51
"1151",732,84
"1152",96,42
"1153",523,72
"1154",291,58
"1155",803,5
"1156",831,31
"1157",208,73
"1158",104,31
"1159",374,50
"1160",195,59
"1161",415,86
"1162",33,93
"1163",9,6
"1164",947,93
"1165",128,41
"1166",639,53
"1167",970,3
"1168",365,32
"1169",86,22
"1170",961,50
"1171",952,44
"1172",854,83
"1173",510,91
"1174",468,NA
"1175",461,50
"1176",329,41
"1177",267,51
"1178",211,NA
"1179",528,50
"1180",186,91
"1181",253,50
"1182",3,51
"1183",168,51
"1184",141,96
"1185",761,50
"1186",532,100
"1187",684,1
"1188",885,100
"1189",328,2
"1190",599,50
"1191",331,100
"1192",767,46
"1193",983,53
"1194",298,100
"1195",652,22
"1196",385,47
"1197",762,87
"1198",769,91
"1199",950,99
"1200",526,84
"1201",671,5
"1202",640,100
"1203",858,14
"1204",310,87
"1205",150,6
"1206",403,86
"1207",749,87
"1208",826,75
"1209",346,50
"1210",551,91
"1211",911,74
"1212",130,86
"1213",585,90
"1214",18,6
"1215",247,41
"1216",989,NA
"1217",368,100
"1218",391,33
"1219",981,3
"1220",103,12
"1221",962,45
"1222",810,10
"1223",739,45
"1224",586,70
"1225",315,99
"1226",364,NA
"1227",21,100
"1228",96,98
"1229",420,66
"1230",426,88
"1231",932,NA
"1232",993,NA
"1233",566,50
"1234",336,75
"1235",487,2
"1236",759,52
"1237",800,6
"1238",969,90
"1239",877,50
"1240",867,5
"1241",911,76
"1242",344,85
"1243",561,2
"1244",30,91
"1245",713,62
"1246",28,52
"1247",181,40
"1248",554,3
"1249",708,76
"1250",676,72
"1251",629,50
"1252",56,50
"1253",724,6
"1254",602,NA
"1255",855,31
"1256",140,95
"1257",93,100
"1258",930,52
"1259",501,91
"1260",879,19
"1261",348,45
"1262",92,3
"1263",636,60
"1264",710,5
"1265",384,19
"1266",358,84
"1267",723,97
"1268",279,61
"1269",515,98
"1270",799,31
"1271",36,70
"1272",704,NA
"1273",729,61
"1274",753,95
"1275",216,1
"1276",492,NA
"1277",517,94
"1278",547,53
"1279",974,100
"1280",609,60
"1281",711,11
"1282",805,NA
"1283",314,52
"1284",821,72
"1285",920,43
"1286",910,51
"1287",964,12
"1288",344,99
"1289",973,3
"1290",196,NA
"1291",461,100
"1292",102,NA
"1293",906,62
"1294",239,1
"1295",432,100
"1296",155,41
"1297",585,61
"1298",283,51
"1299",771,NA
"1300",853,100
"1301",703,20
"1302",690,NA
"1303",759,31
"1304",384,81
"1305",441,89
"1306",257,NA
"1307",912,5
"1308",881,55
"1309",377,NA
"1310",703,91
"1311",103,100
"1312",810,100
"1313",17,10
"1314",218,50
"1315",584,2
"1316",90,76
"1317",962,NA
"1318",377,90
"1319",452,77
"1320",525,NA
"1321",582,100
"1322",641,2
"1323",892,NA
"1324",228,7
"1325",228,4
"1326",464,12
"1327",522,NA
"1328",376,15
"1329",199,88
"1330",569,99
"1331",353,8
"1332",551,28
"1333",296,NA
"1334",698,12
"1335",971,12
"1336",797,NA
"1337",263,NA
"1338",48,1
"1339",688,6
"1340",275,50
"1341",135,52
"1342",87,7
"1343",414,NA
"1344",128,75
"1345",833,100
"1346",800,90
"1347",217,7
"1348",333,51
"1349",643,50
"1350",421,70
"1351",801,100
"1352",282,97
"1353",77,38
"1354",202,41
"1355",781,1
"1356",603,35
"1357",968,50
"1358",375,100
"1359",704,97
"1360",410,74
"1361",534,70
"1362",927,35
"1363",984,88
"1364",8,88
"1365",139,100
"1366",88,NA
"1367",637,51
"1368",761,90
"1369",455,63
"1370",508,63
"1371",854,94
"1372",245,68
"1373",311,59
"1374",335,50
"1375",601,5
"1376",209,100
"1377",141,NA
"1378",750,92
"1379",187,2
"1380",25,30
"1381",573,71
"1382",830,50
"1383",592,80
"1384",409,44
"1385",875,7
"1386",98,79
"1387",674,69
"1388",785,3
"1389",32,10
"1390",296,31
"1391",454,50
"1392",866,80
"1393",473,4
"1394",263,100
"1395",499,99
"1396",332,51
"1397",2,47
"1398",369,70
"1399",168,41
"1400",442,50
"1401",345,100
"1402",949,38
"1403",829,NA
"1404",712,100
"1405",199,78
"1406",426,50
"1407",425,1
"1408",105,99
"1409",273,100
"1410",148,85
"1411",994,40
"1412",176,70
"1413",59,88
"1414",891,77
"1415",552,31
"1416",546,100
"1417",570,38
"1418",588,13
"1419",934,62
"1420",398,77
"1421",71,50
"1422",151,37
"1423",124,82
"1424",340,90
"1425",953,76
"1426",162,7
"1427",51,91
"1428",561,91
"1429",725,51
"1430",188,4
"1431",24,25
"1432",541,51
"1433",589,50
"1434",827,50
"1435",333,75
"1436",236,51
"1437",932,50
"1438",497,76
"1439",533,50
"1440",802,28
"1441",453,53
"1442",445,89
"1443",318,45
"1444",328,46
"1445",441,5
"1446",24,70
"1447",527,81
"1448",102,50
"1449",65,13
"1450",890,90
"1451",451,37
"1452",509,50
"1453",213,69
"1454",950,89
"1455",14,50
"1456",470,21
"1457",30,77
"1458",858,71
"1459",772,89
"1460",48,51
"1461",929,100
"1462",219,100
"1463",935,100
"1464",332,64
"1465",445,50
"1466",349,10
"1467",820,70
"1468",490,95
"1469",926,50
"1470",227,51
"1471",103,62
"1472",253,41
"1473",275,94
"1474",785,78
"1475",529,40
"1476",162,32
"1477",990,62
"1478",527,58
"1479",525,100
"1480",464,NA
"1481",462,100
"1482",337,50
"1483",942,95
"1484",724,59
"1485",266,8
"1486",769,67
"1487",86,75
"1488",962,100
"1489",99,50
"1490",119,100
"1491",174,51
"1492",223,80
"1493",177,81
"1494",871,63
"1495",452,91
"1496",255,4
"1497",844,11
"1498",482,78
"1499",112,90
"1500",980,83
"1501",793,69
"1502",606,51
"1503",857,78
"1504",369,100
"1505",366,91
"1506",933,51
"1507",566,1
"1508",740,100
"1509",707,NA
"1510",54,50
"1511",399,100
"1512",205,50
"1513",889,86
"1514",407,52
"1515",434,31
"1516",755,66
"1517",962,32
"1518",746,58
"1519",221,52
"1520",897,49
"1521",306,99
"1522",151,28
"1523",393,3
"1524",415,52
"1525",87,6
"1526",338,3
"1527",41,100
"1528",584,50
"1529",684,71
"1530",108,41
"1531",765,69
"1532",667,72
"1533",87,52
"1534",197,50
"1535",212,71
"1536",133,60
"1537",761,10
"1538",455,20
"1539",435,NA
"1540",564,69
"1541",430,50
"1542",535,51
"1543",645,52
"1544",908,100
"1545",685,50
"1546",451,87
"1547",995,35
"1548",273,71
"1549",282,80
"1550",845,NA
"1551",579,91
"1552",820,51
"1553",75,22
"1554",647,80
"1555",410,100
"1556",381,26
"1557",831,98
"1558",274,100
"1559",757,99
"1560",773,78
"1561",404,72
"1562",908,2
"1563",21,51
"1564",869,47
"1565",948,56
"1566",407,60
"1567",450,37
"1568",412,66
"1569",212,98
"1570",678,98
"1571",390,50
"1572",621,51
"1573",799,50
"1574",512,90
"1575",138,NA
"1576",777,53
"1577",673,90
"1578",561,50
"1579",165,54
"1580",542,50
"1581",500,49
"1582",169,1
"1583",739,70
"1584",744,50
"1585",561,30
"1586",854,1
"1587",792,1
"1588",979,61
"1589",90,NA
"1590",354,50
"1591",385,NA
"1592",53,100
"1593",398,NA
"1594",358,NA
"1595",641,96
"1596",424,100
"1597",631,93
"1598",211,94
"1599",798,78
"1600",86,43
"1601",653,44
"1602",849,60
"1603",816,86
"1604",401,76
"1605",499,86
"1606",689,87
"1607",422,87
"1608",704,50
"1609",352,49
"1610",695,53
"1611",737,NA
"1612",753,99
"1613",512,1
"1614",261,NA
"1615",983,2
"1616",678,72
"1617",849,50
"1618",494,89
"1619",460,51
"1620",861,50
"1621",957,42
"1622",996,2
"1623",594,49
"1624",171,86
"1625",579,100
"1626",651,70
"1627",59,50
"1628",898,99
"1629",757,63
"1630",128,66
"1631",142,56
"1632",22,NA
"1633",972,50
"1634",182,16
"1635",12,NA
"1636",380,NA
"1637",342,87
"1638",234,77
"1639",769,50
"1640",54,89
"1641",602,49
"1642",819,31
"1643",949,91
"1644",446,71
"1645",515,NA
"1646",647,95
"1647",858,50
"1648",22,97
"1649",764,76
"1650",283,80
"1651",936,44
"1652",441,89
"1653",194,12
"1654",660,41
"1655",185,70
"1656",633,78
"1657",710,52
"1658",765,52
"1659",738,51
"1660",721,50
"1661",440,35
"1662",662,15
"1663",197,29
"1664",265,3
"1665",506,20
"1666",120,64
"1667",299,20
"1668",401,22
"1669",638,50
"1670",637,73
"1671",907,99
"1672",585,100
"1673",286,50
"1674",853,13
"1675",720,100
"1676",291,76
"1677",727,50
"1678",17,100
"1679",138,42
"1680",119,50
"1681",45,72
"1682",155,41
"1683",454,1
"1684",977,100
"1685",524,6
"1686",457,7
"1687",955,38
"1688",530,70
"1689",37,100
"1690",146,1
"1691",538,66
"1692",41,NA
"1693",537,60
"1694",395,50
"1695",313,27
"1696",367,52
"1697",107,100
"1698",977,73
"1699",32,NA
"1700",839,100
"1701",466,80
"1702",589,70
"1703",571,71
"1704",102,13
"1705",422,74
"1706",576,52
"1707",62,69
"1708",492,52
"1709",91,91
"1710",823,50
"1711",28,100
"1712",786,NA
"1713",224,3
"1714",929,NA
"1715",42,100
"1716",746,50
"1717",45,NA
"1718",540,15
"1719",901,80
"1720",882,78
"1721",81,NA
"1722",883,20
"1723",84,71
"1724",836,71
"1725",185,59
"1726",518,90
"1727",762,99
"1728",114,84
"1729",889,52
"1730",919,60
"1731",117,50
"1732",833,81
"1733",879,100
"1734",977,71
"1735",795,90
"1736",113,50
"1737",745,63
"1738",12,54
"1739",761,81
"1740",791,51
"1741",937,81
"1742",148,51
"1743",512,95
"1744",381,49
"1745",426,60
"1746",696,50
"1747",50,21
"1748",925,72
"1749",940,85
"1750",773,13
"1751",712,62
"1752",456,100
"1753",466,50
"1754",301,51
"1755",583,73
"1756",494,54
"1757",369,33
"1758",346,96
"1759",804,11
"1760",216,60
"1761",824,32
"1762",341,20
"1763",232,46
"1764",452,71
"1765",781,90
"1766",284,NA
"1767",888,NA
"1768",479,50
"1769",460,60
"1770",718,52
"1771",419,52
"1772",777,7
"1773",98,51
"1774",314,2
"1775",11,55
"1776",781,87
"1777",894,94
"1778",956,50
"1779",644,41
"1780",421,32
"1781",356,38
"1782",145,43
"1783",996,41
"1784",878,90
"1785",924,62
"1786",965,50
"1787",729,100
"1788",946,1
"1789",934,50
"1790",5,96
"1791",635,52
"1792",856,28
"1793",532,15
"1794",970,100
"1795",515,50
"1796",797,50
"1797",827,49
"1798",361,67
"1799",183,NA
"1800",252,32
"1801",146,50
"1802",901,NA
"1803",946,51
"1804",365,51
"1805",389,91
"1806",770,50
"1807",37,90
"1808",338,50
"1809",663,80
"1810",619,50
"1811",330,46
"1812",223,32
"1813",275,51
"1814",754,99
"1815",847,56
"1816",691,31
"1817",489,50
"1818",578,99
"1819",248,50
"1820",130,76
"1821",739,88
"1822",809,41
"1823",874,68
"1824",89,50
"1825",924,90
"1826",549,42
"1827",760,69
"1828",450,90
"1829",697,75
"1830",627,1
"1831",728,1
"1832",225,2
"1833",367,55
"1834",267,90
"1835",796,89
"1836",70,96
"1837",60,45
"1838",787,77
"1839",550,50
"1840",895,73
"1841",287,51
"1842",190,4
"1843",503,50
"1844",687,10
"1845",715,100
"1846",12,20
"1847",160,89
"1848",10,50
"1849",34,80
"1850",724,3
"1851",172,63
"1852",5,54
