"study","treatment","therm1","therm2","therm3","therm4"
1,"No Contact",50,47,NA,NA
1,"No Contact",100,91,NA,NA
2,"No Contact",100,100,100,100
2,"No Contact",99,100,83,NA
1,"Same-Sex Marriage Script by Gay Canvasser",85,85,NA,NA
2,"No Contact",51,52,41,44
1,"Same-Sex Marriage Script by Gay Canvasser",86,86,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",97,89,96,99
2,"Same-Sex Marriage Script by Gay Canvasser",96,98,98,91
1,"No Contact",80,80,NA,NA
2,"No Contact",47,52,48,57
1,"No Contact",50,52,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",100,89,NA,NA
1,"No Contact",73,73,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,51,NA,NA
1,"No Contact",2,NA,NA,NA
1,"No Contact",1,NA,NA,NA
1,"No Contact",52,52,NA,NA
2,"No Contact",64,76,54,64
1,"Recycling Script by Straight Canvasser",71,71,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",50,45,NA,NA
1,"No Contact",94,94,NA,NA
1,"No Contact",95,95,NA,NA
1,"Recycling Script by Straight Canvasser",50,54,NA,NA
2,"No Contact",61,66,51,74
2,"No Contact",97,87,100,100
1,"No Contact",50,47,NA,NA
1,"No Contact",94,94,NA,NA
1,"Recycling Script by Straight Canvasser",39,39,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",40,40,NA,NA
1,"Recycling Script by Straight Canvasser",98,98,NA,NA
1,"No Contact",99,NA,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",50,52,NA,NA
1,"No Contact",50,NA,NA,NA
1,"Recycling Script by Straight Canvasser",3,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",68,68,NA,NA
1,"No Contact",61,61,NA,NA
2,"No Contact",22,24,45,25
1,"Same-Sex Marriage Script by Straight Canvasser",83,83,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,53,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",12,NA,NA,NA
1,"No Contact",41,41,NA,NA
1,"No Contact",79,79,NA,NA
1,"No Contact",55,55,NA,NA
1,"No Contact",100,95,NA,NA
1,"No Contact",51,NA,NA,NA
1,"No Contact",13,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",12,16,25,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,96
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
2,"Same-Sex Marriage Script by Gay Canvasser",87,NA,NA,100
1,"Recycling Script by Straight Canvasser",31,31,NA,NA
1,"No Contact",43,43,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",52,52,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,55,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",63,63,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",54,54,NA,NA
1,"No Contact",51,NA,NA,NA
1,"No Contact",100,NA,NA,NA
1,"No Contact",35,35,NA,NA
1,"No Contact",54,54,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",1,2,9,6
1,"No Contact",38,38,NA,NA
2,"No Contact",50,51,54,45
1,"No Contact",81,81,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,98,NA,100
2,"No Contact",96,NA,89,100
2,"Same-Sex Marriage Script by Gay Canvasser",100,NA,NA,98
2,"Same-Sex Marriage Script by Gay Canvasser",90,92,NA,86
1,"Same-Sex Marriage Script by Straight Canvasser",50,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",63,44,59,60
1,"Same-Sex Marriage Script by Straight Canvasser",50,64,NA,NA
1,"Recycling Script by Straight Canvasser",50,55,NA,NA
2,"No Contact",1,0,0,9
1,"No Contact",100,100,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",4,4,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,52,NA,NA
1,"No Contact",80,NA,NA,NA
1,"No Contact",99,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,97,NA,NA
1,"No Contact",54,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",51,53,49,52
2,"Same-Sex Marriage Script by Gay Canvasser",71,70,NA,68
2,"Same-Sex Marriage Script by Gay Canvasser",51,89,NA,95
1,"No Contact",51,51,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",61,61,NA,NA
1,"Recycling Script by Gay Canvasser",50,44,NA,NA
1,"Recycling Script by Gay Canvasser",46,46,NA,NA
1,"Recycling Script by Gay Canvasser",50,52,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",75,97,100,100
1,"No Contact",70,70,NA,NA
1,"No Contact",98,98,NA,NA
1,"No Contact",99,99,NA,NA
1,"Recycling Script by Gay Canvasser",88,89,NA,NA
1,"Recycling Script by Gay Canvasser",51,51,NA,NA
1,"Recycling Script by Gay Canvasser",50,52,NA,NA
1,"Recycling Script by Gay Canvasser",85,85,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,NA,NA,NA
1,"Recycling Script by Gay Canvasser",40,40,NA,NA
1,"Recycling Script by Gay Canvasser",26,26,NA,NA
1,"No Contact",92,92,NA,NA
1,"No Contact",63,63,NA,NA
1,"Recycling Script by Straight Canvasser",71,71,NA,NA
1,"No Contact",50,57,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",91,NA,100,99
2,"Same-Sex Marriage Script by Gay Canvasser",6,22,15,NA
2,"Same-Sex Marriage Script by Gay Canvasser",95,100,98,96
2,"No Contact",50,51,48,57
2,"No Contact",1,0,NA,1
2,"No Contact",80,75,70,77
1,"Same-Sex Marriage Script by Straight Canvasser",50,56,NA,NA
1,"No Contact",19,19,NA,NA
1,"No Contact",89,89,NA,NA
2,"No Contact",89,100,100,90
1,"Recycling Script by Gay Canvasser",3,3,NA,NA
1,"Recycling Script by Gay Canvasser",14,12,NA,NA
1,"No Contact",27,27,NA,NA
1,"No Contact",47,47,NA,NA
1,"No Contact",10,10,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",56,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",91,NA,75,94
1,"Recycling Script by Straight Canvasser",83,83,NA,NA
1,"Recycling Script by Straight Canvasser",46,46,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",96,93,84,99
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,94,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,51,52,55
1,"Recycling Script by Gay Canvasser",75,75,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,48,50,52
1,"No Contact",9,9,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",12,12,NA,NA
2,"No Contact",50,53,55,63
2,"Same-Sex Marriage Script by Gay Canvasser",55,70,66,70
2,"Same-Sex Marriage Script by Gay Canvasser",50,46,NA,46
1,"No Contact",51,51,NA,NA
1,"No Contact",5,5,NA,NA
1,"No Contact",100,99,NA,NA
1,"No Contact",47,47,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",62,62,NA,NA
1,"No Contact",52,NA,NA,NA
1,"No Contact",10,NA,NA,NA
1,"No Contact",32,32,NA,NA
1,"No Contact",35,35,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",37,37,NA,NA
1,"No Contact",66,66,NA,NA
1,"No Contact",97,97,NA,NA
1,"No Contact",50,45,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",51,51,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",7,0,7,0
1,"Recycling Script by Gay Canvasser",59,59,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",63,63,NA,NA
1,"Recycling Script by Gay Canvasser",79,79,NA,NA
1,"Recycling Script by Gay Canvasser",80,87,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",47,47,NA,NA
1,"Recycling Script by Straight Canvasser",41,41,NA,NA
1,"Recycling Script by Straight Canvasser",64,64,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",100,98,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",75,75,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",84,84,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",48,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",92,92,NA,NA
1,"No Contact",50,54,NA,NA
1,"No Contact",92,92,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",80,80,NA,NA
1,"Recycling Script by Gay Canvasser",50,48,NA,NA
1,"Recycling Script by Gay Canvasser",9,9,NA,NA
1,"No Contact",91,NA,NA,NA
1,"No Contact",17,17,NA,NA
1,"No Contact",50,56,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",91,91,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",63,63,NA,NA
1,"No Contact",27,27,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,52,NA,NA
1,"No Contact",3,3,NA,NA
1,"No Contact",54,NA,NA,NA
1,"No Contact",62,62,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",99,99,NA,NA
1,"No Contact",94,94,NA,NA
1,"No Contact",80,80,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",72,72,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",91,91,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",85,85,NA,NA
1,"No Contact",88,88,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",11,11,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",93,93,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",96,100,NA,NA
1,"Recycling Script by Straight Canvasser",51,51,NA,NA
1,"No Contact",72,72,NA,NA
1,"Recycling Script by Straight Canvasser",99,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",92,92,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",50,55,NA,NA
1,"No Contact",50,55,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,56,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,54,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,51,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",89,81,78,87
2,"Same-Sex Marriage Script by Gay Canvasser",50,62,49,70
1,"Recycling Script by Gay Canvasser",50,49,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",91,91,NA,NA
1,"No Contact",1,1,NA,NA
2,"No Contact",100,99,98,100
1,"No Contact",91,91,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",41,37,NA,48
1,"No Contact",71,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",19,17,21,35
1,"Same-Sex Marriage Script by Straight Canvasser",3,3,NA,NA
1,"Recycling Script by Straight Canvasser",13,13,NA,NA
1,"No Contact",70,70,NA,NA
1,"Recycling Script by Straight Canvasser",68,68,NA,NA
1,"Recycling Script by Gay Canvasser",95,95,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",43,64,61,73
2,"Same-Sex Marriage Script by Gay Canvasser",49,47,NA,59
1,"No Contact",20,20,NA,NA
1,"No Contact",63,63,NA,NA
1,"No Contact",30,NA,NA,NA
1,"No Contact",1,1,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",69,69,NA,NA
1,"Recycling Script by Straight Canvasser",56,56,NA,NA
1,"Recycling Script by Gay Canvasser",72,72,NA,NA
1,"Recycling Script by Gay Canvasser",72,72,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",81,81,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",55,55,NA,NA
1,"Recycling Script by Straight Canvasser",48,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,NA,92,96
2,"No Contact",91,NA,88,85
1,"No Contact",100,99,NA,NA
1,"No Contact",42,42,NA,NA
1,"No Contact",96,96,NA,NA
1,"No Contact",62,62,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",75,75,NA,NA
2,"No Contact",67,72,65,56
1,"Recycling Script by Straight Canvasser",3,3,NA,NA
1,"No Contact",91,91,NA,NA
2,"No Contact",7,NA,0,0
2,"No Contact",52,36,63,47
1,"No Contact",72,72,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",15,5,2,NA
2,"No Contact",1,NA,NA,16
1,"Same-Sex Marriage Script by Gay Canvasser",69,69,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,59,NA,NA
1,"Recycling Script by Straight Canvasser",80,80,NA,NA
1,"No Contact",76,76,NA,NA
1,"No Contact",50,45,NA,NA
1,"No Contact",59,59,NA,NA
1,"Recycling Script by Straight Canvasser",62,62,NA,NA
1,"No Contact",75,NA,NA,NA
1,"No Contact",50,43,NA,NA
1,"No Contact",86,NA,NA,NA
1,"No Contact",86,86,NA,NA
1,"No Contact",51,51,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",99,100,84,81
2,"Same-Sex Marriage Script by Gay Canvasser",5,NA,1,17
1,"No Contact",100,100,NA,NA
1,"No Contact",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",1,1,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",72,72,NA,NA
1,"Recycling Script by Gay Canvasser",27,27,NA,NA
1,"Recycling Script by Gay Canvasser",67,NA,NA,NA
1,"Recycling Script by Gay Canvasser",86,86,NA,NA
1,"No Contact",61,61,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,47,53,54
1,"Recycling Script by Gay Canvasser",50,52,NA,NA
1,"Recycling Script by Gay Canvasser",31,30,NA,NA
1,"Recycling Script by Gay Canvasser",47,47,NA,NA
2,"No Contact",55,61,54,51
1,"Same-Sex Marriage Script by Gay Canvasser",86,86,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,NA,NA,NA
1,"No Contact",31,31,NA,NA
1,"No Contact",50,56,NA,NA
2,"No Contact",100,100,97,96
1,"No Contact",50,54,NA,NA
1,"No Contact",65,65,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",84,84,NA,NA
1,"No Contact",75,NA,NA,NA
1,"No Contact",50,57,NA,NA
1,"Recycling Script by Gay Canvasser",50,45,NA,NA
1,"Recycling Script by Gay Canvasser",55,55,NA,NA
1,"No Contact",19,19,NA,NA
1,"No Contact",50,48,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",52,60,NA,NA
1,"No Contact",40,40,NA,NA
1,"No Contact",81,81,NA,NA
1,"Recycling Script by Straight Canvasser",80,NA,NA,NA
1,"Recycling Script by Straight Canvasser",25,25,NA,NA
1,"No Contact",75,75,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",100,94,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",51,36,77,59
2,"Same-Sex Marriage Script by Gay Canvasser",55,51,62,54
1,"Recycling Script by Gay Canvasser",70,70,NA,NA
1,"Recycling Script by Gay Canvasser",50,51,NA,NA
1,"No Contact",83,83,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",72,72,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",79,79,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",3,10,2,7
2,"Same-Sex Marriage Script by Gay Canvasser",50,47,56,62
1,"No Contact",50,51,NA,NA
1,"No Contact",23,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,54,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",53,69,NA,NA
1,"No Contact",50,50,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,66,78,82
1,"No Contact",50,53,NA,NA
1,"Recycling Script by Gay Canvasser",31,31,NA,NA
1,"No Contact",21,21,NA,NA
1,"Recycling Script by Gay Canvasser",6,8,NA,NA
2,"No Contact",50,NA,47,53
2,"No Contact",7,4,0,10
1,"No Contact",50,43,NA,NA
1,"Recycling Script by Straight Canvasser",71,71,NA,NA
1,"Recycling Script by Straight Canvasser",70,70,NA,NA
1,"No Contact",96,96,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",89,89,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",1,3,NA,NA
1,"Recycling Script by Straight Canvasser",83,83,NA,NA
1,"Recycling Script by Gay Canvasser",50,45,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",70,70,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",40,40,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",50,54,NA,NA
1,"No Contact",67,67,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",11,11,NA,NA
1,"No Contact",50,NA,NA,NA
2,"No Contact",100,100,100,100
2,"No Contact",51,NA,55,49
2,"No Contact",56,68,47,44
1,"Recycling Script by Straight Canvasser",51,51,NA,NA
2,"No Contact",88,87,78,81
2,"No Contact",50,50,47,42
1,"Same-Sex Marriage Script by Gay Canvasser",49,49,NA,NA
2,"No Contact",50,49,52,36
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",90,88,74,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",49,NA,NA,NA
1,"No Contact",93,93,NA,NA
1,"No Contact",4,4,NA,NA
1,"No Contact",36,36,NA,NA
1,"No Contact",50,NA,NA,NA
2,"No Contact",2,6,7,NA
1,"Recycling Script by Straight Canvasser",48,48,NA,NA
1,"Recycling Script by Gay Canvasser",1,3,NA,NA
1,"No Contact",100,96,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",22,NA,NA,NA
1,"No Contact",2,2,NA,NA
2,"No Contact",85,NA,89,96
1,"No Contact",100,97,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",33,33,NA,NA
1,"No Contact",50,53,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
1,"No Contact",40,NA,NA,NA
2,"No Contact",100,96,100,100
2,"No Contact",50,52,51,57
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",84,84,NA,NA
1,"Recycling Script by Straight Canvasser",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",34,34,NA,NA
1,"Recycling Script by Straight Canvasser",44,44,NA,NA
1,"No Contact",96,96,NA,NA
1,"Recycling Script by Gay Canvasser",90,NA,NA,NA
1,"No Contact",44,44,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",80,80,NA,NA
1,"Recycling Script by Straight Canvasser",95,95,NA,NA
1,"No Contact",63,63,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",78,78,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",100,100,NA,NA
2,"No Contact",50,NA,58,NA
1,"No Contact",27,27,NA,NA
2,"No Contact",76,NA,100,77
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",3,3,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",83,83,NA,NA
1,"No Contact",95,95,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",12,12,NA,NA
1,"No Contact",91,91,NA,NA
1,"Recycling Script by Straight Canvasser",72,67,NA,NA
1,"Recycling Script by Straight Canvasser",50,51,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",3,3,NA,NA
1,"Recycling Script by Gay Canvasser",33,33,NA,NA
1,"Recycling Script by Gay Canvasser",51,51,NA,NA
2,"No Contact",45,57,NA,44
1,"Same-Sex Marriage Script by Straight Canvasser",50,54,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,46,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
1,"No Contact",97,97,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",6,6,NA,NA
1,"Recycling Script by Gay Canvasser",42,42,NA,NA
1,"Recycling Script by Gay Canvasser",85,85,NA,NA
1,"Recycling Script by Gay Canvasser",51,51,NA,NA
1,"No Contact",83,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,88,95
2,"Same-Sex Marriage Script by Gay Canvasser",81,95,NA,92
1,"Recycling Script by Gay Canvasser",90,NA,NA,NA
1,"Recycling Script by Gay Canvasser",47,47,NA,NA
1,"No Contact",70,70,NA,NA
1,"Recycling Script by Gay Canvasser",91,91,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",1,1,NA,NA
2,"No Contact",11,13,4,10
2,"No Contact",50,50,50,NA
2,"No Contact",50,52,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",51,52,NA,64
2,"Same-Sex Marriage Script by Gay Canvasser",55,68,61,61
2,"Same-Sex Marriage Script by Gay Canvasser",53,61,NA,44
2,"Same-Sex Marriage Script by Gay Canvasser",58,58,68,62
1,"Same-Sex Marriage Script by Gay Canvasser",96,96,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
1,"No Contact",30,30,NA,NA
1,"No Contact",91,91,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",2,NA,NA,NA
1,"No Contact",71,71,NA,NA
1,"No Contact",10,10,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",3,13,13,14
2,"Same-Sex Marriage Script by Gay Canvasser",50,66,72,70
2,"No Contact",30,24,NA,13
1,"Recycling Script by Straight Canvasser",54,54,NA,NA
1,"Recycling Script by Straight Canvasser",3,3,NA,NA
1,"Recycling Script by Straight Canvasser",40,40,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",91,75,83,95
1,"Same-Sex Marriage Script by Straight Canvasser",47,61,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,51,NA,NA
2,"No Contact",2,2,0,0
2,"Same-Sex Marriage Script by Gay Canvasser",52,59,46,62
1,"No Contact",12,12,NA,NA
1,"Recycling Script by Straight Canvasser",7,7,NA,NA
1,"No Contact",71,71,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",63,67,74,60
1,"Recycling Script by Straight Canvasser",20,20,NA,NA
1,"Recycling Script by Straight Canvasser",50,50,NA,NA
1,"Recycling Script by Straight Canvasser",87,84,NA,NA
1,"No Contact",71,71,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",91,91,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",42,42,NA,NA
1,"No Contact",49,49,NA,NA
1,"No Contact",96,96,NA,NA
1,"Recycling Script by Gay Canvasser",100,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",9,21,10,0
2,"Same-Sex Marriage Script by Gay Canvasser",90,NA,73,92
2,"Same-Sex Marriage Script by Gay Canvasser",54,NA,56,41
2,"Same-Sex Marriage Script by Gay Canvasser",30,29,35,36
2,"No Contact",50,53,44,55
2,"No Contact",75,68,94,86
2,"No Contact",2,0,12,10
