"province","district","village.id","age","educ.years","employed","income","violent.exp.ISAF","violent.exp.taliban","list.group","list.response"
"Logar","Baraki Barak",102,40,11,1,"10,001-20,000",0,1,"taliban",3
"Logar","Baraki Barak",102,30,10,1,"10,001-20,000",1,0,"taliban",1
"Logar","Baraki Barak",101,18,3,0,"less than 2,000",0,0,"control",1
"Logar","Baraki Barak",101,29,2,1,"2,001-10,000",0,0,"control",3
"Logar","Baraki Barak",101,21,12,1,"2,001-10,000",0,1,"control",0
"Logar","Baraki Barak",101,61,6,1,"2,001-10,000",1,0,"control",0
"Logar","Baraki Barak",101,60,12,1,"10,001-20,000",0,0,"control",2
"Logar","Baraki Barak",101,23,14,1,"10,001-20,000",1,0,"control",2
"Logar","Baraki Barak",101,50,0,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Baraki Barak",101,55,2,1,"10,001-20,000",0,0,"ISAF",3
"Logar","Baraki Barak",101,33,12,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Baraki Barak",101,33,14,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Baraki Barak",101,41,12,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Baraki Barak",101,71,2,1,"2,001-10,000",0,0,"ISAF",0
"Logar","Baraki Barak",101,28,2,1,"10,001-20,000",0,0,"taliban",1
"Logar","Baraki Barak",101,36,2,1,"2,001-10,000",0,1,"taliban",2
"Logar","Baraki Barak",101,50,8,1,"2,001-10,000",0,1,"taliban",1
"Logar","Baraki Barak",101,37,8,1,"10,001-20,000",0,0,"taliban",2
"Logar","Baraki Barak",101,60,3,1,"2,001-10,000",1,1,"taliban",1
"Logar","Baraki Barak",101,45,12,1,"2,001-10,000",1,1,"taliban",2
"Logar","Baraki Barak",20,20,12,0,"2,001-10,000",0,1,"control",2
"Logar","Baraki Barak",20,18,0,1,"less than 2,000",0,0,"control",3
"Logar","Baraki Barak",20,19,0,1,"2,001-10,000",0,0,"control",2
"Logar","Baraki Barak",20,24,10,1,"10,001-20,000",0,1,"control",3
"Logar","Baraki Barak",20,33,12,1,"2,001-10,000",0,1,"control",0
"Logar","Baraki Barak",20,52,12,1,"2,001-10,000",1,1,"control",1
"Logar","Baraki Barak",20,50,10,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Baraki Barak",20,19,6,1,"10,001-20,000",0,0,"ISAF",2
"Logar","Baraki Barak",20,47,12,1,"10,001-20,000",0,0,"ISAF",1
"Logar","Baraki Barak",20,30,0,1,"2,001-10,000",1,0,"ISAF",1
"Logar","Baraki Barak",20,51,12,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",20,42,12,1,"10,001-20,000",0,0,"ISAF",0
"Logar","Baraki Barak",20,59,12,1,"2,001-10,000",1,0,"taliban",1
"Logar","Baraki Barak",20,30,0,1,"2,001-10,000",1,0,"taliban",1
"Logar","Baraki Barak",20,62,5,1,"2,001-10,000",1,0,"taliban",3
"Logar","Baraki Barak",20,59,0,1,"2,001-10,000",1,0,"taliban",1
"Logar","Baraki Barak",20,41,8,1,"2,001-10,000",0,0,"taliban",3
"Logar","Baraki Barak",20,25,12,1,"2,001-10,000",0,0,"taliban",2
"Logar","Baraki Barak",130,43,12,1,"2,001-10,000",0,0,"control",1
"Logar","Baraki Barak",130,29,6,0,"less than 2,000",1,0,"control",1
"Logar","Baraki Barak",130,32,11,1,"2,001-10,000",0,0,"control",2
"Logar","Baraki Barak",130,50,10,1,"2,001-10,000",0,0,"control",2
"Logar","Baraki Barak",130,20,3,1,"less than 2,000",0,0,"control",3
"Logar","Baraki Barak",130,18,5,0,NA,0,0,"control",1
"Logar","Baraki Barak",130,48,12,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",130,26,12,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Baraki Barak",130,42,7,1,"2,001-10,000",1,0,"ISAF",1
"Logar","Baraki Barak",130,22,14,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Baraki Barak",130,68,3,0,"10,001-20,000",0,1,"ISAF",2
"Logar","Baraki Barak",130,36,12,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Baraki Barak",130,45,8,1,"less than 2,000",1,0,"taliban",1
"Logar","Baraki Barak",130,19,0,1,NA,1,0,"taliban",1
"Logar","Baraki Barak",130,33,9,1,"2,001-10,000",0,0,"taliban",2
"Logar","Baraki Barak",130,55,0,1,"less than 2,000",0,0,"taliban",1
"Logar","Baraki Barak",130,41,4,1,"10,001-20,000",0,0,"taliban",2
"Logar","Baraki Barak",130,47,0,1,"less than 2,000",1,0,"taliban",1
"Logar","Khoshi",137,53,0,0,"2,001-10,000",0,0,"control",0
"Logar","Khoshi",137,42,0,1,"2,001-10,000",1,0,"control",1
"Logar","Khoshi",137,32,7,1,"10,001-20,000",0,0,"control",0
"Logar","Khoshi",137,27,6,1,"2,001-10,000",1,0,"ISAF",1
"Logar","Khoshi",137,40,12,0,"2,001-10,000",1,0,"ISAF",1
"Logar","Khoshi",137,61,3,1,"10,001-20,000",0,1,"ISAF",2
"Logar","Khoshi",137,19,3,1,"2,001-10,000",0,1,"taliban",1
"Logar","Khoshi",137,16,0,1,"2,001-10,000",0,0,"taliban",1
"Logar","Khoshi",137,23,4,1,"2,001-10,000",0,0,"taliban",1
"Logar","Khoshi",24,25,8,0,"less than 2,000",0,0,"control",3
"Logar","Khoshi",24,22,12,1,"10,001-20,000",0,0,"control",2
"Logar","Khoshi",24,27,0,0,"2,001-10,000",0,1,"control",1
"Logar","Khoshi",24,30,0,0,"2,001-10,000",0,1,"ISAF",2
"Logar","Khoshi",24,50,0,1,"less than 2,000",0,1,"ISAF",2
"Logar","Khoshi",24,21,0,1,"2,001-10,000",1,0,"ISAF",0
"Logar","Khoshi",24,19,6,1,"2,001-10,000",0,0,"taliban",1
"Logar","Khoshi",24,70,0,0,"2,001-10,000",0,0,"taliban",3
"Logar","Khoshi",24,40,12,1,"2,001-10,000",0,0,"taliban",1
"Logar","Khoshi",29,38,8,1,"2,001-10,000",0,0,"control",3
"Logar","Khoshi",29,32,14,1,"2,001-10,000",0,0,"control",3
"Logar","Khoshi",29,18,5,0,"less than 2,000",0,0,"control",2
"Logar","Khoshi",29,41,9,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Khoshi",29,59,0,0,"less than 2,000",0,0,"ISAF",0
"Logar","Khoshi",29,67,11,0,"2,001-10,000",0,0,"ISAF",3
"Logar","Khoshi",29,24,16,1,"2,001-10,000",0,0,"taliban",1
"Logar","Khoshi",29,46,10,1,"2,001-10,000",1,0,"taliban",2
"Logar","Khoshi",29,52,2,1,"less than 2,000",0,0,"taliban",2
"Logar","Khoshi",182,75,6,0,"20,001-30,000",0,0,"control",0
"Logar","Khoshi",182,25,2,1,"2,001-10,000",0,0,"control",1
"Logar","Khoshi",182,19,10,0,"2,001-10,000",0,0,"control",2
"Logar","Khoshi",182,45,12,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Khoshi",182,22,0,1,"2,001-10,000",1,0,"ISAF",1
"Logar","Khoshi",182,21,6,0,"2,001-10,000",0,0,"ISAF",1
"Logar","Khoshi",182,40,7,1,"10,001-20,000",0,0,"taliban",1
"Logar","Khoshi",182,24,2,0,"2,001-10,000",0,1,"taliban",2
"Logar","Khoshi",182,23,0,0,"10,001-20,000",0,1,"taliban",1
"Logar","Khoshi",187,30,0,1,"2,001-10,000",0,0,"control",2
"Logar","Khoshi",187,27,0,1,"2,001-10,000",0,0,"control",1
"Logar","Khoshi",187,23,6,1,"2,001-10,000",0,0,"control",1
"Logar","Khoshi",187,63,4,0,"2,001-10,000",0,0,"control",2
"Logar","Khoshi",187,42,7,1,"2,001-10,000",0,1,"control",2
"Logar","Khoshi",187,30,10,1,"2,001-10,000",0,0,"control",3
"Logar","Khoshi",187,20,5,0,"2,001-10,000",0,0,"ISAF",0
"Logar","Khoshi",187,25,10,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Khoshi",187,20,12,0,NA,0,0,"ISAF",3
"Logar","Khoshi",187,38,2,1,"2,001-10,000",0,0,"ISAF",0
"Logar","Khoshi",187,43,11,1,"2,001-10,000",1,0,"ISAF",1
"Logar","Khoshi",187,27,10,0,"less than 2,000",0,0,"ISAF",2
"Logar","Khoshi",187,18,4,1,"2,001-10,000",1,0,"taliban",2
"Logar","Khoshi",187,28,12,1,"2,001-10,000",1,0,"taliban",3
"Logar","Khoshi",187,60,0,1,"10,001-20,000",0,0,"taliban",1
"Logar","Khoshi",187,21,12,1,"2,001-10,000",0,0,"taliban",1
"Logar","Khoshi",187,43,6,1,"2,001-10,000",0,0,"taliban",3
"Logar","Khoshi",187,25,0,1,"2,001-10,000",0,0,"taliban",2
"Logar","Puli Alam",75,30,7,1,"less than 2,000",0,0,"control",2
"Logar","Puli Alam",75,28,12,1,"2,001-10,000",0,0,"control",2
"Logar","Puli Alam",75,59,16,1,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",75,23,0,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Puli Alam",75,50,4,1,"less than 2,000",0,0,"ISAF",3
"Logar","Puli Alam",75,56,14,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Puli Alam",75,38,10,1,"10,001-20,000",0,0,"taliban",3
"Logar","Puli Alam",75,17,2,0,"less than 2,000",1,0,"taliban",2
"Logar","Puli Alam",75,41,0,0,"less than 2,000",0,0,"taliban",3
"Logar","Puli Alam",50,72,10,0,NA,0,0,"control",1
"Logar","Puli Alam",50,23,9,1,"less than 2,000",0,0,"control",3
"Logar","Puli Alam",50,34,0,1,"2,001-10,000",1,0,"control",3
"Logar","Puli Alam",50,42,14,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Puli Alam",50,58,0,1,"less than 2,000",0,0,"ISAF",4
"Logar","Puli Alam",50,72,0,0,NA,0,0,"ISAF",1
"Logar","Puli Alam",50,39,12,1,"10,001-20,000",0,0,"taliban",3
"Logar","Puli Alam",50,24,9,1,"2,001-10,000",0,0,"taliban",3
"Logar","Puli Alam",50,18,6,0,NA,0,0,"taliban",3
"Logar","Puli Alam",41,23,0,1,"2,001-10,000",0,0,"control",2
"Logar","Puli Alam",41,18,0,0,"2,001-10,000",0,0,"control",2
"Logar","Puli Alam",41,22,12,0,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",41,35,0,1,"10,001-20,000",0,0,"ISAF",2
"Logar","Puli Alam",41,24,11,0,"2,001-10,000",0,0,"ISAF",2
"Logar","Puli Alam",41,22,0,0,"10,001-20,000",0,0,"ISAF",3
"Logar","Puli Alam",41,24,0,0,"2,001-10,000",0,0,"taliban",1
"Logar","Puli Alam",41,35,14,0,"10,001-20,000",0,0,"taliban",3
"Logar","Puli Alam",41,28,12,1,"10,001-20,000",0,0,"taliban",2
"Logar","Puli Alam",134,47,3,1,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",134,35,10,1,"2,001-10,000",0,0,"control",1
"Logar","Puli Alam",134,72,2,0,"2,001-10,000",0,0,"control",2
"Logar","Puli Alam",134,58,8,0,"2,001-10,000",0,0,"ISAF",1
"Logar","Puli Alam",134,53,9,1,"10,001-20,000",0,0,"ISAF",2
"Logar","Puli Alam",134,43,16,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Puli Alam",134,27,12,1,"10,001-20,000",0,0,"taliban",3
"Logar","Puli Alam",134,26,0,1,"less than 2,000",0,0,"taliban",3
"Logar","Puli Alam",134,62,10,1,"less than 2,000",0,0,"taliban",3
"Logar","Puli Alam",181,33,6,1,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",181,44,0,1,"less than 2,000",0,0,"control",2
"Logar","Puli Alam",181,59,12,1,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",181,25,0,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Puli Alam",181,18,10,0,NA,0,0,"ISAF",0
"Logar","Puli Alam",181,34,12,1,"2,001-10,000",0,0,"ISAF",4
"Logar","Puli Alam",181,40,9,1,"2,001-10,000",0,0,"taliban",3
"Logar","Puli Alam",181,58,11,0,"2,001-10,000",0,0,"taliban",1
"Logar","Puli Alam",181,23,12,0,"less than 2,000",0,0,"taliban",3
"Logar","Puli Alam",202,27,16,1,"10,001-20,000",0,0,"control",1
"Logar","Puli Alam",202,30,6,1,"2,001-10,000",0,0,"control",2
"Logar","Puli Alam",202,27,0,1,"less than 2,000",0,0,"control",2
"Logar","Puli Alam",202,26,11,1,"less than 2,000",1,0,"ISAF",1
"Logar","Puli Alam",202,33,3,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Puli Alam",202,43,12,1,"2,001-10,000",0,0,"ISAF",4
"Logar","Puli Alam",202,30,8,1,"2,001-10,000",0,0,"taliban",1
"Logar","Puli Alam",202,24,6,1,"2,001-10,000",0,0,"taliban",1
"Logar","Puli Alam",202,18,8,1,"2,001-10,000",0,0,"taliban",3
"Logar","Puli Alam",172,22,10,0,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",172,44,5,1,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",172,21,5,0,"less than 2,000",0,0,"control",3
"Logar","Puli Alam",172,35,7,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Puli Alam",172,47,0,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Puli Alam",172,29,10,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Puli Alam",172,18,0,0,"2,001-10,000",0,0,"taliban",3
"Logar","Puli Alam",172,24,12,0,"2,001-10,000",0,0,"taliban",3
"Logar","Puli Alam",172,46,11,1,"2,001-10,000",0,0,"taliban",1
"Logar","Puli Alam",127,31,6,1,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",127,19,9,0,"less than 2,000",0,0,"control",2
"Logar","Puli Alam",127,42,14,1,"2,001-10,000",0,0,"control",2
"Logar","Puli Alam",127,20,2,1,"2,001-10,000",1,0,"ISAF",1
"Logar","Puli Alam",127,45,0,1,"10,001-20,000",0,0,"ISAF",4
"Logar","Puli Alam",127,55,7,1,"10,001-20,000",0,0,"ISAF",3
"Logar","Puli Alam",127,28,12,1,"2,001-10,000",0,0,"taliban",3
"Logar","Puli Alam",127,26,5,0,"2,001-10,000",0,0,"taliban",1
"Logar","Puli Alam",127,37,10,1,"10,001-20,000",0,0,"taliban",2
"Logar","Puli Alam",72,25,0,1,"2,001-10,000",0,0,"control",2
"Logar","Puli Alam",72,59,12,0,"less than 2,000",0,0,"control",1
"Logar","Puli Alam",72,18,0,0,"less than 2,000",1,0,"control",3
"Logar","Puli Alam",72,37,0,1,"10,001-20,000",0,0,"ISAF",2
"Logar","Puli Alam",72,22,10,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Puli Alam",72,26,0,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Puli Alam",72,23,9,0,"2,001-10,000",0,0,"taliban",3
"Logar","Puli Alam",72,37,0,0,"less than 2,000",0,0,"taliban",2
"Logar","Puli Alam",72,26,0,1,"2,001-10,000",0,0,"taliban",1
"Logar","Puli Alam",111,50,14,0,"2,001-10,000",0,0,"control",2
"Logar","Puli Alam",111,26,0,1,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",111,55,8,1,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",111,17,0,0,"10,001-20,000",0,0,"ISAF",3
"Logar","Puli Alam",111,35,10,0,"10,001-20,000",0,0,"ISAF",3
"Logar","Puli Alam",111,50,12,0,"10,001-20,000",0,0,"ISAF",2
"Logar","Puli Alam",111,22,12,0,"2,001-10,000",0,0,"taliban",2
"Logar","Puli Alam",111,20,0,0,"over 30,000",0,0,"taliban",1
"Logar","Puli Alam",111,58,14,1,"10,001-20,000",0,0,"taliban",2
"Logar","Puli Alam",30,24,9,0,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",30,45,2,1,"less than 2,000",0,0,"control",3
"Logar","Puli Alam",30,38,8,1,"2,001-10,000",0,0,"control",2
"Logar","Puli Alam",30,18,12,1,"2,001-10,000",0,0,"ISAF",4
"Logar","Puli Alam",30,27,0,0,"less than 2,000",0,0,"ISAF",1
"Logar","Puli Alam",30,30,7,1,"2,001-10,000",0,0,"ISAF",4
"Logar","Puli Alam",30,35,3,1,"2,001-10,000",0,0,"taliban",3
"Logar","Puli Alam",30,22,12,1,"2,001-10,000",0,0,"taliban",2
"Logar","Puli Alam",30,20,6,0,"2,001-10,000",0,0,"taliban",2
"Logar","Puli Alam",34,27,6,1,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",34,29,3,1,"2,001-10,000",0,0,"control",2
"Logar","Puli Alam",34,47,0,1,"10,001-20,000",0,0,"control",2
"Logar","Puli Alam",34,47,9,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Puli Alam",34,30,16,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Puli Alam",34,18,6,0,"2,001-10,000",0,0,"ISAF",2
"Logar","Puli Alam",34,35,7,1,"2,001-10,000",0,0,"taliban",1
"Logar","Puli Alam",34,19,0,0,"10,001-20,000",0,0,"taliban",3
"Logar","Puli Alam",34,43,10,1,"2,001-10,000",0,0,"taliban",2
"Logar","Puli Alam",192,25,6,1,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",192,29,9,1,"2,001-10,000",0,0,"control",1
"Logar","Puli Alam",192,18,4,0,"2,001-10,000",1,0,"control",2
"Logar","Puli Alam",192,22,12,1,"2,001-10,000",0,0,"control",3
"Logar","Puli Alam",192,19,6,0,NA,0,0,"control",3
"Logar","Puli Alam",192,33,14,1,"10,001-20,000",0,0,"control",1
"Logar","Puli Alam",192,24,0,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Puli Alam",192,46,3,1,"2,001-10,000",0,0,"ISAF",3
