"self","alison","jane","moses","china","age"
1,2,1,1,0,36
2,3,2,1,0,42
2,4,5,2,0,28
1,3,2,2,0,28
1,1,1,1,0,44
1,2,1,1,0,25
5,5,5,5,0,23
1,2,1,1,0,33
2,4,2,1,0,47
3,3,3,3,0,43
5,4,5,2,0,30
1,3,1,1,0,40
2,4,1,1,0,41
3,1,1,1,0,37
1,2,5,2,0,51
1,2,5,2,0,27
1,2,3,1,0,49
1,2,1,1,0,58
5,5,5,5,0,58
1,2,1,1,0,28
1,2,2,1,0,30
2,2,2,4,0,60
1,1,1,2,0,18
1,1,1,1,0,21
1,3,2,1,0,48
2,3,1,2,0,36
1,2,3,2,0,52
5,5,3,5,1,40
1,5,5,5,1,45
5,4,5,5,1,48
1,5,5,5,1,42
1,3,3,3,1,57
4,5,3,4,1,53
1,3,3,5,1,34
4,5,4,5,1,75
4,5,4,1,1,51
3,4,5,3,1,43
1,5,5,5,1,27
3,4,3,3,1,51
1,5,3,3,1,27
2,3,2,2,1,30
1,5,4,3,1,53
5,3,5,3,1,19
1,5,3,4,1,40
2,3,3,4,1,48
3,4,3,2,1,39
3,3,3,4,1,49
2,5,5,1,1,28
2,4,2,1,1,50
3,5,3,5,1,50
1,5,3,2,1,36
3,5,3,4,1,23
5,3,4,4,1,55
1,3,3,3,1,58
3,5,3,4,1,40
2,4,3,3,1,41
1,3,3,2,1,39
4,5,5,5,1,35
1,3,5,3,1,35
3,3,3,1,1,54
1,5,5,5,1,50
3,4,4,4,1,48
3,4,2,3,1,36
4,2,3,4,1,49
3,5,5,5,1,68
3,4,5,4,1,54
1,4,5,5,1,73
3,3,4,3,1,25
3,5,2,4,1,32
5,3,5,4,1,22
1,4,2,1,1,40
2,3,2,3,1,33
1,5,5,5,1,37
1,4,3,3,1,38
3,4,4,4,1,50
5,4,5,5,1,40
3,5,5,5,1,40
2,4,5,5,1,42
1,4,4,5,1,40
2,5,2,3,1,49
5,3,4,5,1,37
2,5,2,3,1,30
5,3,5,5,1,31
4,5,2,1,1,31
5,5,3,4,1,49
3,5,5,5,1,44
1,4,3,3,1,47
3,3,3,3,1,48
3,5,5,5,1,39
3,3,3,3,1,25
5,3,3,3,1,63
2,3,5,4,1,59
1,3,4,4,1,44
2,4,4,5,1,28
1,3,4,3,1,37
3,4,4,3,1,25
3,4,3,1,1,65
2,3,5,1,1,38
5,4,2,3,1,39
4,4,4,4,1,51
5,5,3,5,1,54
3,3,2,3,1,49
1,5,3,5,1,32
3,4,3,3,1,30
1,5,4,5,1,35
5,2,3,3,1,59
3,5,3,3,1,32
1,4,4,2,1,37
3,5,3,3,1,38
1,3,4,3,1,28
3,4,3,4,1,34
4,5,3,5,1,54
5,4,4,2,1,49
1,5,5,5,1,46
1,5,1,5,1,40
1,5,4,5,1,29
4,5,4,4,1,40
3,5,3,4,1,36
1,5,3,3,1,73
1,4,5,5,1,22
2,4,3,2,1,33
1,3,1,1,1,38
4,5,3,3,1,47
4,4,4,3,1,36
1,3,3,5,1,46
3,5,3,2,1,59
1,3,1,3,1,38
5,5,5,5,1,56
3,5,4,4,1,24
3,4,3,5,1,42
2,5,5,5,1,75
3,3,2,3,1,58
1,5,5,5,1,27
5,4,4,5,1,36
4,3,3,5,1,45
1,3,1,1,1,44
2,5,3,5,1,35
3,5,5,5,1,34
1,3,3,3,1,36
3,3,3,3,1,33
3,3,3,5,1,35
2,4,5,3,1,29
5,2,5,5,1,76
1,3,3,5,1,54
2,5,5,5,1,37
1,5,3,1,1,28
3,4,3,2,1,40
4,5,4,5,1,52
2,5,4,5,1,38
1,5,4,3,1,33
5,5,4,5,1,50
4,5,3,5,1,45
2,5,5,5,1,38
2,3,3,3,1,42
1,3,3,5,1,48
1,5,4,5,1,27
1,4,5,5,1,68
4,5,5,5,1,30
1,3,3,3,1,32
2,2,3,2,1,46
1,4,4,4,1,69
1,4,4,5,1,35
4,5,5,1,1,66
3,3,3,5,1,45
1,5,1,5,1,50
2,3,3,5,1,50
5,5,5,5,1,38
1,2,1,1,1,62
1,5,3,2,1,26
3,4,2,2,1,51
5,3,3,3,1,38
4,5,5,5,1,81
4,5,3,3,1,76
3,5,2,3,1,65
1,4,2,3,1,48
2,4,5,3,1,44
4,5,5,5,1,53
1,4,5,4,1,51
2,4,3,5,1,45
4,4,3,4,1,45
4,4,3,3,1,48
3,4,5,5,1,24
2,5,5,5,1,25
2,4,2,2,1,23
2,4,3,3,1,39
4,4,4,4,1,62
1,4,3,2,1,73
2,4,2,2,1,57
4,5,5,5,1,45
2,3,1,3,1,39
4,5,2,1,1,53
3,4,2,3,1,61
1,3,2,1,1,31
5,5,4,3,1,60
3,4,4,4,1,45
3,4,2,2,1,26
2,4,4,4,1,40
4,3,3,4,1,79
2,3,5,4,1,65
2,4,2,2,1,71
2,3,2,3,1,65
3,4,3,2,1,76
1,4,5,4,1,34
2,3,3,2,1,31
1,4,3,1,1,69
4,5,5,5,1,47
4,3,5,3,1,39
3,3,2,2,1,38
3,5,4,3,1,51
1,3,2,3,1,70
3,4,2,2,1,36
3,2,2,3,1,73
2,3,2,3,1,73
2,4,5,5,1,69
3,5,2,3,1,59
5,3,2,2,1,38
2,5,3,2,1,38
5,4,2,3,1,70
4,3,3,1,1,70
3,4,3,2,1,19
2,3,3,3,1,82
2,2,2,2,1,39
3,4,4,3,1,56
2,5,5,5,1,55
3,4,4,4,1,69
3,4,4,5,1,23
1,4,3,1,1,46
2,3,3,3,1,38
5,5,4,3,1,64
1,4,4,3,1,49
5,3,2,3,1,58
2,3,3,2,1,20
4,3,5,5,1,83
4,5,4,3,1,70
5,5,4,4,1,71
4,5,5,5,1,72
2,4,3,3,1,40
4,4,5,5,1,70
2,3,3,3,1,68
3,3,3,3,1,52
3,4,5,3,1,76
2,2,3,2,1,69
4,4,3,2,1,62
4,5,4,3,1,77
2,5,4,5,1,50
3,4,4,4,1,44
5,5,1,1,1,71
4,5,3,4,1,73
3,5,3,5,1,67
3,4,3,3,1,68
2,1,4,3,1,25
3,4,4,4,1,67
3,4,3,3,1,72
4,4,2,2,1,59
2,4,4,4,1,63
2,3,2,3,1,38
4,3,3,3,1,47
2,3,2,2,1,75
2,4,4,4,1,27
2,4,4,3,1,40
2,3,2,2,1,43
2,5,3,2,1,24
4,5,5,5,1,26
4,3,4,5,1,65
4,4,3,2,1,46
3,5,3,2,1,48
2,5,3,4,1,23
2,3,3,3,1,58
2,4,5,3,1,48
3,5,5,5,1,23
3,4,4,5,1,46
3,3,3,3,1,61
4,5,5,5,1,68
2,2,2,1,1,53
1,3,3,3,1,48
2,5,4,5,1,69
2,4,2,2,1,40
3,4,3,3,1,45
1,4,3,5,1,62
1,4,4,4,1,75
4,4,4,4,1,35
1,5,5,3,1,66
3,5,5,5,1,72
3,4,4,3,1,53
4,5,5,5,1,54
3,3,3,3,1,53
1,4,2,3,1,48
1,3,2,2,1,50
3,4,3,3,1,46
2,3,5,5,1,22
1,3,1,1,1,44
1,5,5,5,1,46
3,5,5,5,1,36
2,3,4,5,1,61
2,3,4,3,1,20
1,3,4,3,1,24
2,3,4,3,1,18
1,3,3,2,1,40
1,3,3,3,1,36
3,5,5,5,1,40
4,3,3,1,1,67
3,5,5,5,1,22
1,3,3,2,1,32
1,5,5,5,1,40
1,2,5,5,1,54
3,3,3,4,1,55
3,5,3,2,1,25
5,5,4,4,1,36
3,5,5,5,1,50
2,3,3,2,1,23
