"GP","village","reserved","female","irrigation","water"
88,2,0,0,1,1
88,1,0,0,1,13
89,2,0,0,0,8
89,1,0,0,0,0
90,2,1,1,0,3
90,1,1,1,2,6
91,2,1,1,0,3
91,1,1,1,0,16
92,2,0,1,0,54
92,1,0,1,15,2
93,2,0,0,0,8
93,1,0,0,0,23
94,2,0,0,1,9
94,1,0,0,0,12
95,2,1,1,0,11
95,1,1,1,1,5
96,2,0,0,0,16
96,1,0,0,0,2
97,2,1,1,0,9
97,1,1,1,12,15
98,2,1,1,0,12
98,1,1,1,2,8
99,2,0,0,6,13
99,1,0,0,1,7
100,2,1,1,5,2
100,1,1,1,0,7
101,2,0,0,2,20
101,1,0,0,0,3
102,2,1,1,1,60
102,1,1,1,0,6
103,2,0,0,0,3
103,1,0,0,0,3
104,2,0,0,0,22
104,1,0,0,9,7
105,2,0,0,0,13
105,1,0,0,0,22
106,2,0,0,1,8
106,1,0,0,0,14
107,2,0,1,1,2
107,1,0,1,0,24
108,2,0,0,0,13
108,1,0,0,0,21
109,2,1,1,0,5
109,1,1,1,0,8
110,2,0,0,0,24
110,1,0,0,0,7
111,2,1,1,0,18
111,1,1,1,0,29
112,2,0,0,0,26
112,1,0,0,0,10
113,2,0,0,16,40
113,1,0,0,8,10
114,2,1,1,14,7
114,1,1,1,2,16
115,2,1,1,0,7
115,1,1,1,0,5
116,2,0,0,10,12
116,1,0,0,0,4
117,2,0,0,0,20
117,1,0,0,0,9
118,2,1,1,2,71
118,1,1,1,0,5
119,2,0,1,18,4
119,1,0,1,2,17
120,2,0,0,47,47
120,1,0,0,15,9
121,2,0,0,0,25
121,1,0,0,0,62
122,2,0,0,8,58
122,1,0,0,0,6
123,2,1,1,0,5
123,1,1,1,0,15
124,2,0,0,4,8
124,1,0,0,0,12
125,2,1,1,0,32
125,1,1,1,0,17
126,2,0,0,2,10
126,1,0,0,8,4
127,2,0,0,0,3
127,1,0,0,0,3
128,2,1,1,2,16
128,1,1,1,15,3
129,2,1,1,5,86
129,1,1,1,24,11
130,2,1,1,0,21
130,1,1,1,0,5
131,2,0,0,90,54
131,1,0,0,34,8
132,2,0,0,0,19
132,1,0,0,0,4
133,2,0,0,8,77
133,1,0,0,0,44
134,2,1,1,1,4
134,1,1,1,6,4
135,2,1,1,0,26
135,1,1,1,0,10
136,2,0,0,0,21
136,1,0,0,20,46
137,2,0,0,6,30
137,1,0,0,0,20
138,2,0,0,3,10
138,1,0,0,2,2
139,2,0,0,5,90
139,1,0,0,83,155
140,2,0,0,1,23
140,1,0,0,0,8
141,2,1,1,9,20
141,1,1,1,4,22
142,2,0,1,2,25
142,1,0,1,0,20
143,2,1,1,3,21
143,1,1,1,32,59
144,2,0,0,3,8
144,1,0,0,0,1
145,2,0,1,0,25
145,1,0,1,0,4
146,2,0,0,0,7
146,1,0,0,0,40
147,2,1,1,2,7
147,1,1,1,0,0
148,2,0,0,0,19
148,1,0,0,2,3
149,2,0,0,0,40
149,1,0,0,0,2
150,2,1,1,1,17
150,1,1,1,0,9
151,2,0,0,4,7
151,1,0,0,1,42
152,2,0,0,0,1
152,1,0,0,1,3
153,2,0,0,0,3
153,1,0,0,0,66
154,2,0,0,0,6
154,1,0,0,30,35
155,2,0,0,3,51
155,1,0,0,10,13
156,2,0,0,0,7
156,1,0,0,0,16
157,2,0,0,0,20
157,1,0,0,0,21
158,2,0,0,0,3
158,1,0,0,8,4
159,2,1,1,0,11
159,1,1,1,0,29
160,2,1,1,0,2
160,1,1,1,5,5
161,2,0,0,0,2
161,1,0,0,0,11
